#Abstand zwischen Befestigung und Schwerpunkt: 16.5cm
#Rotationsfrequenz davor, Präzenssionsdauer, Rotationsfrequenz danach,mittlere Rotfrequenz
33.8, 12.1, 31.9 ,32.85 
31.1, 13.2, 30.52,30.81 
29.9, 14.7, 29.3 ,29.6  
28.9, 12.6, 28.2 ,28.55 
27.8, 13.3, 27.3 ,27.55 
26.9, 12.2, 26.2 ,26.55 
23.9, 10.2, 23.4 ,23.65 
23.0, 10.6, 22.6 ,22.8  
22.3, 10  , 22   ,22.15 
21.8, 10.8, 21.4 ,21.6  
21.0, 10.2, 20.7 ,20.85 
20.4, 9.8 , 20.1 ,20.25 
19.7, 9.2 , 19.3 ,19.5  
19.1, 8.3 , 18.8 ,18.95 
18.5, 8.4 , 18.1 ,18.3  
17.8, 8.3 , 17.4 ,17.6  
17.2, 7.8 , 16.9 ,17.05 
16.7, 7.4 , 16.3 ,16.5  
15.9, 7.1 , 15.8 ,15.85 
15.5, 6.7 , 15.2 ,15.35 
14.7, 6.8 , 14.5 ,14.6  
14.3, 6.4 , 14   ,14.15 
13.7, 6.3 , 13.6 ,13.65 
13.3, 6.4 , 13   ,13.15 
12.9, 5.8 , 12.7 ,12.8  
12.4, 5.8 , 12.2 ,12.3  
11.8, 5.1 , 11.7 ,11.75 
11.5, 5.4 , 11.3 ,11.4  
11.0, 4.9 , 10.9 ,10.95 
10.7, 4.8 , 10.4 ,10.55 
10.3, 4.3 , 10.1 ,10.2  
9.9,  4.3 ,  9.6 ,9.75  
9.4,  4.1 , 9.2  ,9.3   
9  ,  4   , 8.9  ,8.95  
8.6,  3.9 , 8.3  ,8.45  
7.9,  3.4 , 7.8  ,7.85  
7.8,  3.5 , 7.5  ,7.65  
7.3,  3.1 , 7.1  ,7.2   
6.9,  2.9 , 6.8  ,6.85  
6.6,  2.9 , 6.4  ,6.5   
6.2,  2.7 , 6.1  ,6.15  
5.8,  2.7 , 5.5  ,5.65  
5.4,  2.3 , 5.3  ,5.35  
4.9,  2.1 , 4.7  ,4.8   
4.5,  2   , 4.3  ,4.4   
