t / s	&b_A1 / rad
0,0	-2,55
0,1	-2,55
0,2	-2,55
0,3	-2,55
0,4	-2,55
0,5	-2,55
0,6	-2,55
0,7	-2,55
0,8	-2,55
0,9	-2,55
1,0	-2,55
1,1	-2,55
1,2	-2,55
1,3	-2,55
1,4	-2,55
1,5	-2,55
1,6	-2,55
1,7	-2,55
1,8	-2,54
1,9	-2,54
2,0	-2,54
2,1	-2,55
2,2	-2,55
2,3	-2,53
2,4	-2,30
2,5	-1,82
2,6	-1,15
2,7	-0,34
2,8	0,49
2,9	1,27
3,0	1,91
3,1	2,35
3,2	2,51
3,3	2,39
3,4	2,00
3,5	1,39
3,6	0,63
3,7	-0,20
3,8	-1,01
3,9	-1,71
4,0	-2,22
4,1	-2,49
4,2	-2,49
4,3	-2,22
4,4	-1,71
4,5	-1,01
4,6	-0,21
4,7	0,63
4,8	1,38
4,9	1,99
5,0	2,36
5,1	2,48
5,2	2,32
5,3	1,90
5,4	1,27
5,5	0,50
5,6	-0,33
5,7	-1,13
5,8	-1,79
5,9	-2,26
6,0	-2,49
6,1	-2,45
6,2	-2,13
6,3	-1,58
6,4	-0,87
6,5	-0,07
6,6	0,75
6,7	1,48
6,8	2,05
6,9	2,39
7,0	2,46
7,1	2,26
7,2	1,79
7,3	1,14
7,4	0,35
7,5	-0,47
7,6	-1,24
7,7	-1,87
7,8	-2,30
7,9	-2,48
8,0	-2,39
8,1	-2,04
8,2	-1,46
8,3	-0,73
8,4	0,07
8,5	0,87
8,6	1,58
8,7	2,11
8,8	2,39
8,9	2,43
9,0	2,18
9,1	1,68
9,2	1,00
9,3	0,21
9,4	-0,60
9,5	-1,35
9,6	-1,94
9,7	-2,33
9,8	-2,46
9,9	-2,33
10,0	-1,94
10,1	-1,34
10,2	-0,61
10,3	0,21
10,4	1,00
10,5	1,67
10,6	2,15
10,7	2,40
10,8	2,38
10,9	2,09
11,0	1,56
11,1	0,87
11,2	0,08
11,3	-0,73
11,4	-1,44
11,5	-2,01
11,6	-2,35
11,7	-2,45
11,8	-2,27
11,9	-1,84
12,0	-1,22
12,1	-0,46
12,2	0,34
12,3	1,11
12,4	1,75
12,5	2,19
12,6	2,39
12,7	2,33
12,8	2,00
12,9	1,46
13,0	0,75
13,1	-0,05
13,2	-0,84
13,3	-1,53
13,4	-2,06
13,5	-2,37
13,6	-2,41
13,7	-2,20
13,8	-1,74
13,9	-1,10
14,0	-0,34
14,1	0,46
14,2	1,21
14,3	1,82
14,4	2,23
14,5	2,39
14,6	2,27
14,7	1,92
14,8	1,34
