t / s	&b_A1 / rad
0,0	-2,57
0,1	-2,57
0,2	-2,57
0,3	-2,57
0,4	-2,57
0,5	-2,58
0,6	-2,59
0,7	-2,59
0,8	-2,59
0,9	-2,59
1,0	-2,54
1,1	-2,32
1,2	-2,00
1,3	-1,65
1,4	-1,32
1,5	-1,02
1,6	-0,77
1,7	-0,57
1,8	-0,41
1,9	-0,28
2,0	-0,18
2,1	-0,11
2,2	-0,07
2,3	-0,04
2,4	-0,02
2,5	-0,01
2,6	0,00
2,7	0,00
2,8	0,00
2,9	0,00
3,0	0,00
3,1	0,00
3,2	0,00
3,3	0,00
3,4	0,00
3,5	0,00
3,6	0,00
3,7	0,00
3,8	0,00
3,9	0,00
4,0	0,00
4,1	0,00
4,2	0,00
4,3	0,00
4,4	0,00
4,5	0,00
4,6	0,00
4,7	0,00
4,8	0,00
4,9	0,00
5,0	0,00
5,1	0,00
5,2	0,00
5,3	0,00
5,4	0,00
5,5	0,00
5,6	0,00
5,7	0,00
5,8	0,00
5,9	0,00
6,0	0,00
6,1	0,00
6,2	0,00
6,3	0,00
6,4	0,00
6,5	0,00
6,6	0,00
