t / s	&b_A1 / rad
0,0	1,09
0,1	1,11
0,2	1,12
0,3	1,15
0,4	1,17
0,5	1,19
0,6	1,21
0,7	1,23
0,8	1,25
0,9	1,27
1,0	1,27
1,1	1,27
1,2	1,27
1,3	1,26
1,4	1,24
1,5	1,23
1,6	1,21
1,7	1,19
1,8	1,17
1,9	1,16
2,0	1,15
2,1	1,15
2,2	1,15
2,3	1,17
2,4	1,18
2,5	1,19
2,6	1,22
2,7	1,23
2,8	1,25
2,9	1,26
3,0	1,27
3,1	1,27
3,2	1,26
3,3	1,25
3,4	1,23
3,5	1,22
3,6	1,20
3,7	1,19
3,8	1,18
3,9	1,16
4,0	1,16
4,1	1,16
4,2	1,17
4,3	1,18
4,4	1,19
4,5	1,20
4,6	1,22
4,7	1,23
4,8	1,24
4,9	1,25
5,0	1,26
5,1	1,26
5,2	1,25
5,3	1,24
5,4	1,23
5,5	1,22
5,6	1,20
5,7	1,19
5,8	1,18
5,9	1,17
6,0	1,17
6,1	1,17
6,2	1,18
6,3	1,19
6,4	1,19
6,5	1,21
6,6	1,23
6,7	1,23
6,8	1,24
6,9	1,25
7,0	1,25
7,1	1,25
7,2	1,24
7,3	1,23
7,4	1,22
7,5	1,21
7,6	1,19
7,7	1,19
7,8	1,18
7,9	1,18
8,0	1,18
8,1	1,18
8,2	1,19
8,3	1,19
8,4	1,20
8,5	1,22
8,6	1,23
8,7	1,23
8,8	1,24
8,9	1,24
9,0	1,24
9,1	1,23
9,2	1,23
9,3	1,23
9,4	1,22
9,5	1,20
9,6	1,19
9,7	1,19
9,8	1,19
9,9	1,19
10,0	1,19
10,1	1,19
10,2	1,19
10,3	1,20
10,4	1,21
10,5	1,22
10,6	1,23
10,7	1,23
10,8	1,23
10,9	1,23
11,0	1,23
11,1	1,23
11,2	1,23
11,3	1,22
11,4	1,21
11,5	1,20
11,6	1,19
11,7	1,19
11,8	1,19
11,9	1,19
12,0	1,19
12,1	1,19
12,2	1,20
12,3	1,21
12,4	1,22
12,5	1,22
12,6	1,23
12,7	1,23
12,8	1,23
12,9	1,23
13,0	1,23
13,1	1,23
13,2	1,22
13,3	1,21
13,4	1,20
13,5	1,20
13,6	1,20
13,7	1,19
13,8	1,19
13,9	1,19
14,0	1,20
14,1	1,20
14,2	1,21
14,3	1,21
14,4	1,22
14,5	1,22
14,6	1,22
14,7	1,23
14,8	1,23
14,9	1,22
15,0	1,22
15,1	1,22
15,2	1,21
15,3	1,21
15,4	1,20
15,5	1,20
15,6	1,20
15,7	1,20
15,8	1,20
15,9	1,20
16,0	1,21
16,1	1,21
16,2	1,21
16,3	1,22
16,4	1,22
16,5	1,22
16,6	1,22
16,7	1,22
16,8	1,22
16,9	1,22
17,0	1,22
17,1	1,21
17,2	1,21
17,3	1,21
17,4	1,21
17,5	1,21
17,6	1,21
17,7	1,21
17,8	1,21
17,9	1,21
18,0	1,21
18,1	1,21
18,2	1,21
18,3	1,21
18,4	1,21
18,5	1,21
18,6	1,21
18,7	1,21
18,8	1,21
18,9	1,21
19,0	1,21
19,1	1,21
19,2	1,21
19,3	1,21
19,4	1,21
19,5	1,21
19,6	1,21
19,7	1,21
19,8	1,21
19,9	1,21
20,0	1,21
20,1	1,21
20,2	1,21
20,3	1,21
20,4	1,21
20,5	1,21
20,6	1,21
20,7	1,21
20,8	1,21
20,9	1,21
21,0	1,21
21,1	1,21
21,2	1,21
21,3	1,21
21,4	1,21
21,5	1,21
21,6	1,21
21,7	1,21
21,8	1,21
21,9	1,21
22,0	1,21
22,1	1,21
22,2	1,21
22,3	1,21
22,4	1,21
22,5	1,21
22,6	1,21
22,7	1,21
22,8	1,21
22,9	1,21
23,0	1,21
23,1	1,21
23,2	1,21
23,3	1,21
23,4	1,21
23,5	1,21
23,6	1,21
23,7	1,21
23,8	1,21
23,9	1,21
24,0	1,21
24,1	1,21
24,2	1,21
24,3	1,21
24,4	1,21
24,5	1,21
24,6	1,21
24,7	1,21
24,8	1,21
24,9	1,21
25,0	1,21
25,1	1,21
25,2	1,21
25,3	1,21
25,4	1,21
25,5	1,21
25,6	1,21
25,7	1,21
25,8	1,21
25,9	1,21
26,0	1,21
26,1	1,21
26,2	1,21
26,3	1,21
26,4	1,21
26,5	1,21
26,6	1,21
26,7	1,21
26,8	1,21
26,9	1,21
27,0	1,21
27,1	1,21
27,2	1,21
