t / s	&b_A1 / rad
0,0	0,09
0,1	0,09
0,2	0,10
0,3	0,09
0,4	0,12
0,5	0,11
0,6	0,11
0,7	0,11
0,8	0,10
0,9	0,10
1,0	0,10
1,1	0,10
1,2	0,10
1,3	0,10
1,4	0,11
1,5	0,11
1,6	0,11
1,7	0,11
1,8	0,10
1,9	0,11
2,0	0,12
2,1	0,11
2,2	0,11
2,3	0,15
2,4	0,17
2,5	0,17
2,6	0,19
2,7	0,18
2,8	0,19
2,9	0,19
3,0	0,19
3,1	0,19
3,2	0,19
3,3	0,22
3,4	0,20
3,5	0,20
3,6	0,21
3,7	0,21
3,8	0,21
3,9	0,23
4,0	0,23
4,1	0,23
4,2	0,24
4,3	0,25
4,4	0,26
4,5	0,27
4,6	0,27
4,7	0,27
4,8	0,28
4,9	0,27
5,0	0,26
5,1	0,26
5,2	0,28
5,3	0,28
5,4	0,29
5,5	0,29
5,6	0,29
5,7	0,29
5,8	0,30
5,9	0,30
6,0	0,29
6,1	0,28
6,2	0,28
6,3	0,27
6,4	0,27
6,5	0,27
6,6	0,28
6,7	0,29
6,8	0,28
6,9	0,28
7,0	0,28
7,1	0,28
7,2	0,28
7,3	0,28
7,4	0,28
7,5	0,28
7,6	0,27
7,7	0,26
7,8	0,27
7,9	0,27
8,0	0,26
8,1	0,25
8,2	0,25
8,3	0,26
8,4	0,25
8,5	0,26
8,6	0,24
8,7	0,23
8,8	0,22
8,9	0,19
9,0	0,16
9,1	0,17
9,2	0,16
9,3	0,15
9,4	0,17
9,5	0,17
9,6	0,16
9,7	0,13
9,8	0,11
9,9	0,09
10,0	0,07
10,1	0,04
10,2	0,03
10,3	0,03
10,4	0,02
10,5	0,02
10,6	0,02
10,7	0,01
10,8	0,01
10,9	0,01
11,0	0,02
11,1	0,02
11,2	0,02
11,3	0,02
11,4	0,01
11,5	0,01
11,6	0,01
11,7	0,00
11,8	0,01
11,9	0,02
12,0	0,01
12,1	0,01
12,2	0,02
12,3	0,02
12,4	0,02
12,5	0,02
12,6	0,03
12,7	0,02
12,8	0,03
12,9	0,03
13,0	0,03
13,1	0,03
13,2	0,03
13,3	0,03
13,4	0,03
13,5	0,03
13,6	0,03
13,7	0,03
13,8	0,04
13,9	0,04
14,0	0,03
14,1	0,03
14,2	0,02
14,3	0,03
14,4	0,02
14,5	0,00
14,6	0,01
14,7	0,02
14,8	0,01
14,9	0,01
15,0	0,02
15,1	0,02
15,2	0,01
15,3	0,02
15,4	0,01
15,5	0,01
15,6	0,01
15,7	0,01
15,8	0,01
15,9	0,02
16,0	0,02
16,1	0,02
16,2	0,02
16,3	0,02
16,4	0,02
16,5	0,02
16,6	0,02
16,7	-0,01
16,8	-0,08
16,9	-0,17
17,0	-0,27
17,1	-0,37
17,2	-0,47
17,3	-0,55
17,4	-0,61
17,5	-0,62
17,6	-0,61
17,7	-0,57
17,8	-0,49
17,9	-0,40
18,0	-0,30
18,1	-0,20
18,2	-0,11
18,3	-0,05
18,4	-0,01
18,5	0,00
18,6	-0,03
18,7	-0,09
18,8	-0,17
18,9	-0,26
19,0	-0,36
19,1	-0,45
19,2	-0,53
19,3	-0,58
19,4	-0,61
19,5	-0,60
19,6	-0,56
19,7	-0,49
19,8	-0,40
19,9	-0,30
20,0	-0,21
20,1	-0,13
20,2	-0,06
20,3	-0,02
20,4	-0,01
20,5	-0,04
20,6	-0,09
20,7	-0,17
20,8	-0,25
20,9	-0,35
21,0	-0,44
21,1	-0,52
21,2	-0,57
21,3	-0,59
21,4	-0,58
21,5	-0,55
21,6	-0,49
21,7	-0,41
21,8	-0,31
21,9	-0,22
22,0	-0,14
22,1	-0,08
22,2	-0,04
22,3	-0,03
22,4	-0,05
22,5	-0,09
22,6	-0,17
22,7	-0,25
22,8	-0,34
22,9	-0,43
23,0	-0,50
23,1	-0,55
23,2	-0,57
23,3	-0,57
23,4	-0,54
23,5	-0,49
23,6	-0,41
23,7	-0,32
23,8	-0,24
23,9	-0,16
24,0	-0,09
24,1	-0,05
24,2	-0,05
24,3	-0,06
24,4	-0,10
24,5	-0,17
24,6	-0,25
24,7	-0,33
24,8	-0,41
24,9	-0,48
25,0	-0,53
25,1	-0,56
25,2	-0,56
25,3	-0,53
25,4	-0,48
25,5	-0,41
25,6	-0,33
25,7	-0,25
25,8	-0,17
25,9	-0,11
26,0	-0,07
26,1	-0,06
26,2	-0,07
26,3	-0,11
26,4	-0,17
26,5	-0,24
26,6	-0,32
26,7	-0,40
26,8	-0,47
26,9	-0,52
27,0	-0,54
27,1	-0,54
27,2	-0,52
27,3	-0,47
27,4	-0,41
27,5	-0,33
27,6	-0,26
27,7	-0,18
27,8	-0,13
27,9	-0,09
28,0	-0,07
28,1	-0,08
28,2	-0,12
28,3	-0,17
28,4	-0,24
28,5	-0,31
28,6	-0,39
28,7	-0,45
28,8	-0,50
28,9	-0,53
29,0	-0,53
29,1	-0,51
29,2	-0,47
29,3	-0,41
29,4	-0,34
29,5	-0,27
29,6	-0,20
29,7	-0,14
29,8	-0,10
29,9	-0,09
30,0	-0,09
30,1	-0,12
30,2	-0,17
30,3	-0,23
30,4	-0,30
30,5	-0,37
30,6	-0,44
30,7	-0,49
30,8	-0,51
30,9	-0,52
31,0	-0,50
31,1	-0,46
31,2	-0,41
31,3	-0,34
31,4	-0,28
31,5	-0,21
31,6	-0,16
31,7	-0,12
31,8	-0,10
31,9	-0,10
32,0	-0,13
32,1	-0,17
32,2	-0,23
32,3	-0,30
32,4	-0,37
32,5	-0,42
32,6	-0,47
32,7	-0,50
32,8	-0,51
32,9	-0,49
33,0	-0,46
33,1	-0,41
33,2	-0,35
33,3	-0,29
33,4	-0,22
33,5	-0,17
33,6	-0,13
33,7	-0,11
33,8	-0,12
33,9	-0,14
34,0	-0,18
34,1	-0,23
34,2	-0,29
34,3	-0,36
34,4	-0,41
34,5	-0,45
34,6	-0,49
34,7	-0,49
34,8	-0,48
34,9	-0,45
35,0	-0,40
35,1	-0,34
35,2	-0,29
35,3	-0,23
35,4	-0,18
35,5	-0,14
35,6	-0,13
35,7	-0,13
35,8	-0,15
35,9	-0,19
36,0	-0,24
36,1	-0,29
36,2	-0,35
36,3	-0,41
36,4	-0,45
36,5	-0,47
36,6	-0,48
36,7	-0,47
36,8	-0,44
36,9	-0,40
37,0	-0,34
37,1	-0,29
37,2	-0,24
37,3	-0,19
37,4	-0,16
37,5	-0,14
37,6	-0,14
37,7	-0,16
37,8	-0,19
37,9	-0,24
38,0	-0,29
38,1	-0,35
38,2	-0,40
38,3	-0,44
38,4	-0,46
38,5	-0,47
38,6	-0,46
38,7	-0,43
38,8	-0,39
38,9	-0,34
39,0	-0,29
39,1	-0,25
39,2	-0,20
39,3	-0,17
39,4	-0,15
39,5	-0,15
39,6	-0,17
39,7	-0,20
39,8	-0,24
39,9	-0,29
40,0	-0,34
40,1	-0,39
40,2	-0,42
40,3	-0,45
40,4	-0,45
40,5	-0,45
40,6	-0,43
40,7	-0,39
40,8	-0,34
40,9	-0,29
41,0	-0,25
41,1	-0,21
41,2	-0,18
41,3	-0,16
41,4	-0,16
41,5	-0,17
41,6	-0,21
41,7	-0,25
41,8	-0,29
41,9	-0,33
42,0	-0,38
42,1	-0,41
42,2	-0,44
42,3	-0,45
42,4	-0,44
42,5	-0,42
42,6	-0,39
42,7	-0,34
42,8	-0,30
42,9	-0,25
43,0	-0,21
43,1	-0,19
43,2	-0,17
43,3	-0,17
43,4	-0,18
43,5	-0,21
43,6	-0,25
43,7	-0,29
43,8	-0,33
43,9	-0,37
44,0	-0,41
44,1	-0,43
44,2	-0,44
44,3	-0,43
44,4	-0,41
44,5	-0,38
44,6	-0,34
44,7	-0,30
44,8	-0,26
44,9	-0,22
45,0	-0,20
45,1	-0,18
45,2	-0,18
45,3	-0,19
45,4	-0,21
45,5	-0,25
45,6	-0,29
45,7	-0,33
45,8	-0,37
45,9	-0,40
46,0	-0,42
46,1	-0,43
46,2	-0,43
46,3	-0,41
46,4	-0,38
46,5	-0,35
46,6	-0,31
46,7	-0,27
46,8	-0,23
46,9	-0,21
47,0	-0,19
47,1	-0,19
47,2	-0,20
47,3	-0,21
47,4	-0,25
47,5	-0,29
47,6	-0,33
47,7	-0,36
47,8	-0,39
47,9	-0,41
48,0	-0,42
48,1	-0,42
48,2	-0,41
48,3	-0,38
48,4	-0,35
48,5	-0,31
48,6	-0,27
48,7	-0,24
48,8	-0,21
48,9	-0,20
49,0	-0,20
49,1	-0,20
49,2	-0,22
49,3	-0,25
49,4	-0,29
49,5	-0,32
49,6	-0,35
49,7	-0,38
49,8	-0,40
49,9	-0,41
50,0	-0,41
50,1	-0,40
50,2	-0,37
50,3	-0,35
50,4	-0,31
50,5	-0,28
50,6	-0,25
50,7	-0,22
50,8	-0,21
50,9	-0,21
51,0	-0,21
51,1	-0,23
51,2	-0,25
51,3	-0,28
51,4	-0,32
51,5	-0,35
51,6	-0,37
51,7	-0,39
51,8	-0,40
51,9	-0,41
52,0	-0,39
52,1	-0,37
52,2	-0,34
52,3	-0,31
52,4	-0,29
52,5	-0,25
52,6	-0,23
52,7	-0,21
52,8	-0,21
52,9	-0,21
53,0	-0,23
53,1	-0,25
53,2	-0,28
53,3	-0,31
53,4	-0,34
53,5	-0,37
53,6	-0,38
53,7	-0,39
53,8	-0,40
53,9	-0,39
54,0	-0,37
54,1	-0,34
54,2	-0,32
54,3	-0,29
54,4	-0,26
54,5	-0,24
54,6	-0,22
54,7	-0,22
54,8	-0,22
54,9	-0,24
55,0	-0,25
55,1	-0,29
55,2	-0,31
55,3	-0,33
55,4	-0,36
55,5	-0,37
55,6	-0,39
55,7	-0,39
55,8	-0,38
55,9	-0,37
56,0	-0,34
56,1	-0,32
56,2	-0,29
56,3	-0,26
56,4	-0,25
56,5	-0,23
56,6	-0,23
56,7	-0,23
56,8	-0,24
56,9	-0,26
57,0	-0,29
57,1	-0,31
57,2	-0,33
57,3	-0,35
57,4	-0,37
57,5	-0,38
57,6	-0,38
57,7	-0,37
57,8	-0,36
57,9	-0,34
58,0	-0,32
58,1	-0,29
58,2	-0,27
58,3	-0,25
58,4	-0,24
58,5	-0,23
58,6	-0,24
58,7	-0,25
58,8	-0,26
58,9	-0,29
59,0	-0,31
59,1	-0,33
59,2	-0,35
59,3	-0,37
59,4	-0,37
59,5	-0,37
59,6	-0,37
59,7	-0,36
59,8	-0,34
59,9	-0,32
60,0	-0,29
60,1	-0,27
60,2	-0,26
60,3	-0,25
60,4	-0,24
60,5	-0,24
60,6	-0,25
60,7	-0,27
60,8	-0,29
60,9	-0,30
61,0	-0,33
61,1	-0,34
61,2	-0,36
61,3	-0,37
61,4	-0,37
61,5	-0,37
61,6	-0,35
61,7	-0,33
61,8	-0,32
61,9	-0,30
62,0	-0,28
62,1	-0,26
62,2	-0,25
62,3	-0,25
62,4	-0,25
62,5	-0,25
62,6	-0,27
62,7	-0,29
62,8	-0,30
62,9	-0,33
63,0	-0,34
63,1	-0,35
63,2	-0,36
63,3	-0,36
63,4	-0,36
63,5	-0,35
63,6	-0,33
63,7	-0,32
63,8	-0,30
63,9	-0,29
64,0	-0,27
64,1	-0,26
64,2	-0,25
64,3	-0,25
64,4	-0,26
64,5	-0,27
64,6	-0,29
64,7	-0,30
64,8	-0,32
64,9	-0,33
65,0	-0,34
65,1	-0,35
65,2	-0,35
65,3	-0,35
65,4	-0,34
65,5	-0,33
65,6	-0,32
65,7	-0,30
65,8	-0,29
65,9	-0,27
66,0	-0,26
66,1	-0,26
66,2	-0,26
66,3	-0,27
66,4	-0,28
66,5	-0,29
66,6	-0,30
66,7	-0,32
66,8	-0,33
66,9	-0,34
67,0	-0,35
67,1	-0,35
67,2	-0,34
67,3	-0,34
67,4	-0,33
67,5	-0,31
67,6	-0,30
67,7	-0,29
67,8	-0,28
67,9	-0,27
68,0	-0,27
68,1	-0,27
68,2	-0,27
68,3	-0,28
68,4	-0,29
68,5	-0,30
68,6	-0,32
68,7	-0,33
68,8	-0,33
68,9	-0,34
69,0	-0,34
69,1	-0,34
69,2	-0,33
69,3	-0,33
69,4	-0,31
69,5	-0,30
69,6	-0,29
69,7	-0,28
69,8	-0,28
69,9	-0,27
70,0	-0,27
70,1	-0,28
70,2	-0,29
70,3	-0,29
70,4	-0,30
70,5	-0,31
70,6	-0,33
70,7	-0,33
70,8	-0,33
70,9	-0,33
71,0	-0,33
71,1	-0,33
71,2	-0,32
71,3	-0,31
71,4	-0,30
71,5	-0,29
71,6	-0,29
71,7	-0,28
71,8	-0,28
71,9	-0,28
72,0	-0,28
72,1	-0,29
72,2	-0,29
72,3	-0,30
72,4	-0,31
72,5	-0,32
72,6	-0,33
72,7	-0,33
72,8	-0,33
72,9	-0,33
73,0	-0,33
73,1	-0,32
73,2	-0,31
73,3	-0,30
73,4	-0,29
73,5	-0,29
73,6	-0,29
73,7	-0,29
73,8	-0,29
73,9	-0,29
74,0	-0,29
74,1	-0,30
74,2	-0,30
74,3	-0,31
74,4	-0,32
74,5	-0,32
74,6	-0,33
74,7	-0,33
74,8	-0,33
74,9	-0,32
75,0	-0,31
75,1	-0,31
75,2	-0,30
75,3	-0,30
75,4	-0,29
75,5	-0,29
75,6	-0,29
75,7	-0,29
75,8	-0,29
75,9	-0,29
76,0	-0,30
76,1	-0,31
76,2	-0,31
76,3	-0,31
76,4	-0,32
76,5	-0,32
76,6	-0,32
76,7	-0,32
76,8	-0,32
76,9	-0,31
77,0	-0,31
77,1	-0,30
77,2	-0,30
77,3	-0,30
77,4	-0,29
77,5	-0,29
77,6	-0,29
77,7	-0,29
77,8	-0,30
77,9	-0,30
78,0	-0,31
78,1	-0,31
78,2	-0,31
78,3	-0,31
78,4	-0,31
78,5	-0,31
78,6	-0,31
78,7	-0,31
78,8	-0,31
78,9	-0,31
79,0	-0,30
79,1	-0,30
79,2	-0,30
79,3	-0,30
79,4	-0,30
79,5	-0,30
79,6	-0,30
79,7	-0,30
79,8	-0,30
79,9	-0,31
80,0	-0,31
80,1	-0,31
80,2	-0,31
80,3	-0,31
80,4	-0,31
80,5	-0,31
80,6	-0,31
80,7	-0,31
80,8	-0,31
80,9	-0,31
81,0	-0,30
81,1	-0,30
81,2	-0,30
81,3	-0,30
81,4	-0,30
81,5	-0,30
81,6	-0,30
81,7	-0,30
81,8	-0,30
81,9	-0,30
82,0	-0,30
82,1	-0,30
82,2	-0,30
82,3	-0,30
82,4	-0,30
82,5	-0,30
82,6	-0,30
82,7	-0,30
82,8	-0,30
82,9	-0,30
83,0	-0,30
83,1	-0,30
83,2	-0,30
83,3	-0,30
83,4	-0,30
83,5	-0,30
83,6	-0,30
83,7	-0,30
83,8	-0,30
83,9	-0,30
84,0	-0,30
84,1	-0,30
84,2	-0,30
84,3	-0,30
84,4	-0,30
84,5	-0,30
84,6	-0,30
84,7	-0,30
84,8	-0,30
84,9	-0,30
85,0	-0,30
85,1	-0,30
85,2	-0,30
85,3	-0,30
85,4	-0,30
85,5	-0,30
85,6	-0,30
85,7	-0,30
85,8	-0,30
85,9	-0,30
86,0	-0,30
86,1	-0,30
86,2	-0,30
86,3	-0,30
86,4	-0,30
86,5	-0,30
86,6	-0,30
86,7	-0,30
86,8	-0,30
86,9	-0,30
87,0	-0,30
87,1	-0,30
87,2	-0,30
87,3	-0,30
87,4	-0,30
87,5	-0,30
87,6	-0,30
87,7	-0,30
87,8	-0,30
87,9	-0,30
88,0	-0,30
88,1	-0,30
88,2	-0,30
88,3	-0,30
88,4	-0,30
88,5	-0,30
88,6	-0,30
88,7	-0,30
88,8	-0,30
88,9	-0,30
89,0	-0,30
89,1	-0,30
89,2	-0,30
89,3	-0,30
89,4	-0,30
89,5	-0,30
89,6	-0,30
89,7	-0,30
89,8	-0,30
89,9	-0,30
90,0	-0,30
90,1	-0,30
90,2	-0,30
90,3	-0,30
90,4	-0,30
90,5	-0,30
90,6	-0,30
90,7	-0,30
90,8	-0,30
90,9	-0,30
91,0	-0,30
91,1	-0,30
91,2	-0,30
91,3	-0,30
91,4	-0,30
91,5	-0,30
91,6	-0,30
91,7	-0,30
