t / s	v / rad/s	U_B1 / V
0,0		2,51
0,1	2,4	2,32
0,2	0,4	2,15
0,3	-1,8	2,00
0,4	-3,7	1,89
0,5	-5,1	1,82
0,6	-6,1	1,82
0,7	-6,3	1,88
0,8	-5,9	1,98
0,9	-4,8	2,12
1,0	-3,1	2,30
1,1	-1,2	2,48
1,2	1,0	2,64
1,3	3,0	2,77
1,4	4,6	2,86
1,5	5,8	2,89
1,6	6,3	2,86
1,7	6,2	2,77
1,8	5,3	2,63
1,9	3,9	2,46
2,0	1,9	2,28
2,1	-0,2	2,11
2,2	-2,2	1,97
2,3	-4,1	1,86
2,4	-5,5	1,82
2,5	-6,2	1,83
2,6	-6,3	1,90
2,7	-5,6	2,01
2,8	-4,4	2,17
2,9	-2,7	2,34
3,0	-0,6	2,52
3,1	1,5	2,68
3,2	3,4	2,80
3,3	5,0	2,87
3,4	6,1	2,88
3,5	6,3	2,84
3,6	6,0	2,74
3,7	5,0	2,59
3,8	3,4	2,42
3,9	1,4	2,24
4,0	-0,8	2,07
4,1	-2,8	1,94
4,2	-4,5	1,85
4,3	-5,7	1,82
4,4	-6,3	1,84
4,5	-6,3	1,92
4,6	-5,4	2,04
4,7	-3,9	2,21
4,8	-2,1	2,38
4,9	-0,1	2,56
5,0	2,1	2,71
5,1	3,9	2,82
5,2	5,4	2,88
5,3	6,2	2,88
5,4	6,3	2,82
5,5	5,8	2,71
5,6	4,6	2,54
5,7	2,9	2,37
5,8	0,8	2,19
5,9	-1,4	2,03
6,0	-3,2	1,91
6,1	-4,9	1,84
6,2	-6,0	1,81
6,3	-6,3	1,86
6,4	-6,0	1,95
6,5	-5,1	2,09
6,6	-3,5	2,25
6,7	-1,6	2,43
6,8	0,5	2,61
6,9	2,5	2,75
7,0	4,3	2,85
7,1	5,6	2,89
7,2	6,3	2,86
7,3	6,2	2,79
7,4	5,5	2,67
7,5	4,2	2,50
7,6	2,3	2,32
7,7	0,2	2,16
7,8	-1,9	2,00
7,9	-3,7	1,90
8,0	-5,2	1,83
8,1	-6,1	1,83
8,2	-6,4	1,87
8,3	-5,8	1,98
8,4	-4,7	2,12
8,5	-3,0	2,29
8,6	-1,0	2,48
8,7	1,1	2,64
8,8	3,1	2,78
8,9	4,7	2,86
9,0	5,9	2,89
9,1	6,4	2,86
9,2	6,1	2,77
9,3	5,2	2,63
9,4	3,7	2,46
9,5	1,8	2,28
9,6	-0,3	2,12
9,7	-2,4	1,98
9,8	-4,3	1,87
9,9	-5,6	1,82
10,0	-6,3	1,83
10,1	-6,3	1,90
10,2	-5,6	2,01
10,3	-4,3	2,16
10,4	-2,5	2,34
10,5	-0,5	2,52
10,6	1,6	2,68
10,7	3,5	2,80
10,8	5,1	2,87
10,9	6,1	2,89
11,0	6,4	2,84
11,1	6,0	2,74
11,2	4,9	2,59
11,3	3,3	2,42
11,4	1,3	2,24
11,5	-0,8	2,07
11,6	-2,9	1,94
11,7	-4,6	1,85
11,8	-5,8	1,82
11,9	-6,4	1,84
12,0	-6,2	1,92
12,1	-5,3	2,04
12,2	-3,9	2,20
12,3	-2,1	2,38
12,4	0,1	2,56
12,5	2,2	2,71
12,6	4,0	2,82
12,7	5,4	2,88
12,8	6,2	2,88
12,9	6,3	2,82
13,0	5,7	2,71
13,1	4,5	2,56
13,2	2,8	2,38
13,3	0,7	2,20
13,4	-1,4	2,05
13,5	-3,4	1,92
13,6	-5,0	1,84
13,7	-6,0	1,82
13,8	-6,4	1,85
13,9	-6,0	1,94
14,0	-5,0	2,07
14,1	-3,4	2,23
14,2	-1,5	2,41
14,3	0,6	2,59
14,4	2,6	2,73
14,5	4,4	2,84
14,6	5,7	2,88
14,7	6,3	2,88
14,8	6,3	2,80
14,9	5,5	2,68
15,0	4,1	2,52
15,1	2,3	2,34
15,2	0,2	2,16
15,3	-1,9	2,01
15,4	-3,8	1,89
15,5	-5,3	1,84
15,6	-6,2	1,82
15,7	-6,4	1,87
15,8	-5,9	1,97
15,9	-4,6	2,12
16,0	-2,9	2,28
16,1	-1,0	2,46
16,2	1,2	2,62
16,3	3,1	2,76
16,4	4,8	2,85
16,5	5,9	2,89
16,6	6,4	2,87
16,7	6,2	2,77
16,8	5,3	2,65
16,9	3,7	2,48
17,0	1,8	2,30
17,1	-0,3	2,13
17,2	-2,5	1,98
17,3	-4,3	1,88
17,4	-5,6	1,83
17,5	-6,3	1,82
17,6	-6,3	1,88
17,7	-5,6	1,99
17,8	-4,3	2,14
17,9	-2,5	2,32
18,0	-0,5	2,50
18,1	1,7	2,66
18,2	3,6	2,78
18,3	5,1	2,86
18,4	6,1	2,89
18,5	6,4	2,85
18,6	6,0	2,75
18,7	5,0	2,61
18,8	3,3	2,44
18,9	1,2	2,26
19,0	-0,9	2,10
19,1	-3,0	1,96
19,2	-4,7	1,86
19,3	-5,9	1,82
19,4	-6,4	1,83
19,5	-6,2	1,91
19,6	-5,4	2,03
19,7	-3,9	2,18
19,8	-2,0	2,36
19,9	0,1	2,54
20,0	2,2	2,69
20,1	4,0	2,81
20,2	5,5	2,88
20,3	6,3	2,88
20,4	6,4	2,84
20,5	5,8	2,73
20,6	4,6	2,57
20,7	2,8	2,40
20,8	0,8	2,22
20,9	-1,4	2,05
21,0	-3,4	1,93
21,1	-5,0	1,85
21,2	-6,0	1,82
21,3	-6,4	1,85
21,4	-6,1	1,94
21,5	-5,0	2,06
21,6	-3,5	2,23
21,7	-1,6	2,41
21,8	0,6	2,58
21,9	2,7	2,73
22,0	4,5	2,84
22,1	5,7	2,89
22,2	6,4	2,88
22,3	6,3	2,81
22,4	5,5	2,69
22,5	4,2	2,54
22,6	2,4	2,36
22,7	0,2	2,18
22,8	-2,0	2,02
22,9	-3,9	1,90
23,0	-5,3	1,84
23,1	-6,2	1,82
23,2	-6,4	1,86
23,3	-5,9	1,96
23,4	-4,7	2,10
23,5	-3,0	2,27
23,6	-1,0	2,45
23,7	1,1	2,62
23,8	3,1	2,76
23,9	4,8	2,85
24,0	5,9	2,88
24,1	6,5	2,87
24,2	6,2	2,79
24,3	5,3	2,66
24,4	3,8	2,50
24,5	1,9	2,32
24,6	-0,4	2,14
24,7	-2,5	2,00
24,8	-4,3	1,89
24,9	-5,6	1,83
25,0	-6,4	1,83
25,1	-6,3	1,89
25,2	-5,7	1,99
25,3	-4,4	2,14
25,4	-2,5	2,31
25,5	-0,5	2,49
25,6	1,6	2,65
25,7	3,6	2,78
25,8	5,1	2,86
25,9	6,1	2,89
26,0	6,5	2,86
26,1	6,0	2,76
26,2	5,0	2,62
26,3	3,4	2,44
26,4	1,3	2,27
26,5	-0,8	2,10
26,6	-2,9	1,96
26,7	-4,7	1,86
26,8	-5,9	1,83
26,9	-6,5	1,83
27,0	-6,3	1,91
27,1	-5,4	2,03
27,2	-4,0	2,19
27,3	-2,1	2,36
27,4	0,1	2,55
27,5	2,1	2,69
27,6	4,0	2,82
27,7	5,4	2,87
27,8	6,3	2,88
27,9	6,5	2,83
28,0	5,9	2,72
28,1	4,6	2,57
28,2	2,9	2,39
28,3	0,8	2,21
28,4	-1,4	2,05
28,5	-3,4	1,92
28,6	-5,1	1,84
28,7	-6,1	1,82
28,8	-6,5	1,85
28,9	-6,1	1,94
29,0	-5,1	2,08
29,1	-3,6	2,24
29,2	-1,6	2,42
29,3	0,6	2,60
29,4	2,6	2,73
29,5	4,4	2,84
29,6	5,8	2,89
29,7	6,4	2,88
29,8	6,4	2,81
29,9	5,6	2,69
30,0	4,2	2,52
30,1	2,4	2,34
30,2	0,2	2,17
30,3	-1,9	2,01
