t / s	v / rad/s	U_B1 / V
0,0		2,88
0,1	0,3	2,83
0,2	0,4	2,69
0,3	0,4	2,49
0,4	0,5	2,26
0,5	0,4	2,06
0,6	0,2	1,91
0,7	0,1	1,83
0,8	-0,2	1,83
0,9	-0,3	1,93
1,0	-0,5	2,10
1,1	-0,5	2,31
1,2	-0,4	2,52
1,3	-0,3	2,72
1,4	-0,2	2,85
1,5	0,0	2,89
1,6	0,2	2,84
1,7	0,4	2,70
1,8	0,5	2,51
1,9	0,5	2,29
2,0	0,4	2,07
2,1	0,3	1,92
2,2	0,1	1,83
2,3	-0,1	1,83
2,4	-0,3	1,92
2,5	-0,4	2,08
2,6	-0,4	2,29
2,7	-0,4	2,51
2,8	-0,3	2,71
2,9	-0,2	2,84
3,0	0,0	2,89
3,1	0,2	2,84
3,2	0,3	2,71
3,3	0,5	2,52
3,4	0,4	2,29
3,5	0,3	2,08
3,6	0,2	1,91
3,7	0,1	1,83
3,8	-0,1	1,83
3,9	-0,3	1,91
4,0	-0,4	2,07
4,1	-0,4	2,28
4,2	-0,4	2,50
4,3	-0,3	2,70
4,4	-0,2	2,84
4,5	0,0	2,89
4,6	0,2	2,85
4,7	0,3	2,72
4,8	0,4	2,52
4,9	0,4	2,30
5,0	0,3	2,08
5,1	0,3	1,92
5,2	0,1	1,84
5,3	-0,2	1,83
5,4	-0,3	1,90
5,5	-0,3	2,06
5,6	-0,4	2,26
5,7	-0,4	2,49
5,8	-0,3	2,69
5,9	-0,1	2,83
6,0	0,0	2,88
6,1	0,2	2,85
6,2	0,3	2,73
6,3	0,4	2,54
6,4	0,4	2,32
6,5	0,4	2,10
6,6	0,2	1,93
6,7	0,0	1,83
6,8	-0,1	1,82
6,9	-0,3	1,90
7,0	-0,4	2,05
7,1	-0,5	2,25
7,2	-0,5	2,47
7,3	-0,3	2,68
7,4	-0,2	2,82
7,5	0,0	2,88
7,6	0,2	2,86
7,7	0,3	2,75
7,8	0,4	2,56
7,9	0,4	2,34
8,0	0,4	2,12
8,1	0,3	1,95
8,2	0,1	1,84
8,3	-0,1	1,82
8,4	-0,3	1,88
8,5	-0,4	2,03
8,6	-0,5	2,23
8,7	-0,5	2,45
8,8	-0,3	2,66
8,9	-0,2	2,82
9,0	0,0	2,88
9,1	0,1	2,87
9,2	0,3	2,74
9,3	0,5	2,56
9,4	0,5	2,35
9,5	0,4	2,13
9,6	0,3	1,95
9,7	0,2	1,84
9,8	-0,1	1,82
9,9	-0,2	1,89
10,0	-0,3	2,03
10,1	-0,5	2,24
10,2	-0,5	2,46
10,3	-0,4	2,66
10,4	-0,2	2,82
10,5	0,0	2,89
10,6	0,1	2,86
10,7	0,3	2,75
10,8	0,4	2,56
10,9	0,4	2,34
11,0	0,4	2,12
11,1	0,3	1,94
11,2	0,1	1,84
11,3	0,0	1,82
11,4	-0,3	1,89
11,5	-0,3	2,03
11,6	-0,4	2,23
11,7	-0,4	2,46
11,8	-0,3	2,66
11,9	-0,1	2,81
12,0	-0,1	2,88
12,1	0,1	2,86
12,2	0,3	2,74
12,3	0,4	2,57
12,4	0,4	2,35
12,5	0,3	2,13
12,6	0,2	1,95
12,7	0,2	1,84
12,8	0,0	1,82
12,9	-0,3	1,87
13,0	-0,4	2,02
13,1	-0,5	2,22
13,2	-0,4	2,44
13,3	-0,3	2,64
13,4	-0,1	2,81
13,5	0,0	2,88
13,6	0,2	2,86
13,7	0,3	2,76
13,8	0,4	2,58
13,9	0,5	2,36
14,0	0,4	2,14
14,1	0,2	1,96
14,2	0,1	1,84
14,3	0,0	1,81
14,4	-0,3	1,87
14,5	-0,4	2,00
14,6	-0,4	2,21
14,7	-0,5	2,43
14,8	-0,4	2,64
14,9	-0,2	2,80
15,0	0,0	2,88
15,1	0,2	2,87
15,2	0,3	2,77
15,3	0,4	2,59
15,4	0,5	2,38
15,5	0,4	2,16
15,6	0,3	1,97
15,7	0,2	1,85
15,8	0,0	1,81
15,9	-0,2	1,87
16,0	-0,4	1,99
16,1	-0,5	2,19
16,2	-0,5	2,40
16,3	-0,4	2,61
16,4	-0,2	2,79
16,5	-0,1	2,88
16,6	0,1	2,88
16,7	0,3	2,78
16,8	0,4	2,62
16,9	0,4	2,40
17,0	0,4	2,18
17,1	0,4	1,99
17,2	0,2	1,86
17,3	0,0	1,82
17,4	-0,2	1,85
17,5	-0,3	1,97
17,6	-0,4	2,16
17,7	-0,5	2,38
17,8	-0,4	2,59
17,9	-0,3	2,76
18,0	-0,1	2,87
18,1	0,1	2,89
18,2	0,3	2,80
18,3	0,4	2,64
18,4	0,4	2,42
18,5	0,4	2,20
18,6	0,3	2,01
18,7	0,2	1,87
18,8	0,0	1,81
18,9	-0,2	1,85
19,0	-0,4	1,96
19,1	-0,4	2,15
19,2	-0,4	2,37
19,3	-0,4	2,58
19,4	-0,3	2,76
19,5	-0,1	2,86
19,6	0,1	2,88
19,7	0,2	2,81
19,8	0,3	2,64
19,9	0,5	2,44
20,0	0,4	2,21
20,1	0,3	2,02
20,2	0,2	1,88
20,3	0,0	1,82
20,4	-0,1	1,84
20,5	-0,3	1,96
20,6	-0,4	2,14
20,7	-0,4	2,36
20,8	-0,4	2,57
20,9	-0,3	2,75
21,0	-0,1	2,87
21,1	0,1	2,89
21,2	0,3	2,81
21,3	0,4	2,65
21,4	0,4	2,45
21,5	0,4	2,23
21,6	0,3	2,03
21,7	0,2	1,88
21,8	0,0	1,82
21,9	-0,2	1,84
22,0	-0,3	1,95
22,1	-0,5	2,13
22,2	-0,5	2,34
22,3	-0,3	2,57
22,4	-0,2	2,75
22,5	-0,1	2,86
22,6	0,1	2,88
22,7	0,2	2,82
22,8	0,4	2,66
22,9	0,4	2,46
23,0	0,4	2,23
23,1	0,3	2,03
23,2	0,2	1,89
23,3	0,0	1,82
23,4	-0,2	1,84
23,5	-0,4	1,95
23,6	-0,4	2,12
23,7	-0,5	2,34
23,8	-0,4	2,55
23,9	-0,3	2,74
24,0	-0,2	2,86
24,1	0,1	2,89
24,2	0,2	2,83
24,3	0,4	2,67
24,4	0,5	2,47
24,5	0,4	2,25
24,6	0,4	2,04
24,7	0,2	1,90
24,8	0,0	1,82
24,9	-0,1	1,83
25,0	-0,4	1,93
25,1	-0,5	2,11
25,2	-0,4	2,32
25,3	-0,4	2,54
25,4	-0,3	2,73
25,5	-0,1	2,86
25,6	0,0	2,89
25,7	0,2	2,83
25,8	0,4	2,69
25,9	0,4	2,50
26,0	0,4	2,27
26,1	0,4	2,05
26,2	0,2	1,91
26,3	0,0	1,83
26,4	-0,2	1,83
26,5	-0,3	1,92
26,6	-0,4	2,09
26,7	-0,4	2,31
26,8	-0,5	2,53
26,9	-0,3	2,72
27,0	-0,1	2,85
27,1	0,1	2,89
27,2	0,2	2,84
27,3	0,3	2,70
27,4	0,4	2,50
27,5	0,4	2,28
27,6	0,3	2,07
27,7	0,3	1,91
27,8	0,1	1,83
27,9	-0,1	1,83
28,0	-0,3	1,91
28,1	-0,4	2,08
28,2	-0,5	2,29
28,3	-0,4	2,51
28,4	-0,3	2,71
28,5	-0,1	2,84
28,6	0,1	2,89
28,7	0,2	2,85
28,8	0,3	2,72
28,9	0,4	2,52
29,0	0,4	2,31
29,1	0,4	2,08
29,2	0,2	1,92
29,3	0,1	1,84
29,4	-0,1	1,83
29,5	-0,3	1,91
29,6	-0,4	2,06
29,7	-0,5	2,28
29,8	-0,5	2,49
29,9	-0,3	2,69
30,0	-0,1	2,84
30,1	0,0	2,89
30,2	0,2	2,86
30,3	0,3	2,73
30,4	0,4	2,54
30,5	0,5	2,32
30,6	0,4	2,11
30,7	0,2	1,93
30,8	0,1	1,84
30,9	-0,2	1,82
31,0	-0,3	1,90
31,1	-0,4	2,05
31,2	-0,5	2,25
31,3	-0,4	2,47
31,4	-0,4	2,68
31,5	-0,2	2,82
31,6	0,0	2,88
31,7	0,2	2,86
31,8	0,3	2,74
31,9	0,4	2,55
32,0	0,4	2,33
32,1	0,4	2,11
32,2	0,3	1,94
32,3	0,2	1,84
32,4	-0,1	1,82
32,5	-0,3	1,89
32,6	-0,4	2,04
32,7	-0,5	2,24
32,8	-0,4	2,46
32,9	-0,3	2,66
33,0	-0,2	2,81
33,1	-0,1	2,88
33,2	0,2	2,87
33,3	0,3	2,75
33,4	0,4	2,57
33,5	0,4	2,35
33,6	0,4	2,14
33,7	0,3	1,95
33,8	0,1	1,84
33,9	-0,1	1,82
34,0	-0,2	1,88
34,1	-0,4	2,02
34,2	-0,4	2,22
34,3	-0,4	2,44
34,4	-0,4	2,65
34,5	-0,2	2,81
34,6	0,0	2,88
34,7	0,1	2,87
34,8	0,3	2,76
34,9	0,4	2,57
35,0	0,5	2,37
35,1	0,4	2,14
35,2	0,3	1,96
35,3	0,2	1,85
35,4	-0,1	1,82
35,5	-0,2	1,87
35,6	-0,3	2,01
35,7	-0,5	2,21
35,8	-0,5	2,43
35,9	-0,3	2,65
36,0	-0,2	2,80
36,1	0,0	2,88
36,2	0,1	2,87
36,3	0,3	2,77
36,4	0,4	2,59
36,5	0,4	2,37
36,6	0,4	2,16
36,7	0,3	1,98
36,8	0,1	1,85
36,9	0,0	1,82
37,0	-0,2	1,86
37,1	-0,3	2,00
37,2	-0,5	2,18
37,3	-0,5	2,41
37,4	-0,3	2,62
37,5	-0,3	2,78
37,6	-0,1	2,88
37,7	0,1	2,88
37,8	0,3	2,79
37,9	0,4	2,61
38,0	0,4	2,40
38,1	0,4	2,17
38,2	0,3	1,98
38,3	0,2	1,86
38,4	0,0	1,82
38,5	-0,2	1,86
38,6	-0,3	1,99
38,7	-0,4	2,18
38,8	-0,4	2,40
38,9	-0,4	2,61
39,0	-0,3	2,78
39,1	-0,1	2,87
39,2	0,2	2,88
39,3	0,3	2,79
39,4	0,4	2,62
39,5	0,4	2,41
39,6	0,4	2,19
39,7	0,3	2,00
39,8	0,2	1,87
39,9	0,0	1,82
40,0	-0,2	1,85
40,1	-0,3	1,97
40,2	-0,4	2,16
40,3	-0,4	2,38
40,4	-0,4	2,59
40,5	-0,3	2,77
40,6	-0,1	2,87
40,7	0,1	2,88
40,8	0,3	2,80
40,9	0,4	2,64
41,0	0,4	2,43
41,1	0,4	2,21
41,2	0,3	2,02
41,3	0,2	1,88
41,4	0,0	1,82
41,5	-0,2	1,85
41,6	-0,3	1,96
41,7	-0,4	2,14
41,8	-0,4	2,36
41,9	-0,4	2,58
42,0	-0,3	2,75
42,1	-0,1	2,86
42,2	0,0	2,88
42,3	0,3	2,81
42,4	0,4	2,66
42,5	0,4	2,45
42,6	0,4	2,23
42,7	0,3	2,02
42,8	0,2	1,89
42,9	0,0	1,82
43,0	-0,2	1,83
43,1	-0,3	1,94
43,2	-0,4	2,12
43,3	-0,4	2,34
43,4	-0,4	2,56
43,5	-0,3	2,74
43,6	-0,2	2,86
43,7	0,1	2,88
43,8	0,3	2,83
43,9	0,4	2,68
44,0	0,4	2,48
44,1	0,4	2,25
44,2	0,3	2,04
44,3	0,2	1,90
44,4	0,0	1,82
44,5	-0,2	1,83
44,6	-0,3	1,93
44,7	-0,4	2,09
44,8	-0,4	2,31
44,9	-0,4	2,53
45,0	-0,3	2,72
45,1	-0,1	2,84
45,2	0,0	2,88
45,3	0,3	2,84
45,4	0,4	2,69
45,5	0,4	2,50
45,6	0,4	2,27
45,7	0,3	2,07
45,8	0,2	1,91
45,9	0,1	1,82
46,0	-0,1	1,82
46,1	-0,3	1,91
46,2	-0,4	2,08
46,3	-0,5	2,28
46,4	-0,4	2,50
46,5	-0,3	2,70
46,6	-0,2	2,83
46,7	0,0	2,89
46,8	0,2	2,84
46,9	0,3	2,71
47,0	0,5	2,52
47,1	0,5	2,30
47,2	0,4	2,09
47,3	0,2	1,92
47,4	0,1	1,83
47,5	-0,1	1,82
47,6	-0,3	1,90
47,7	-0,4	2,05
47,8	-0,4	2,26
47,9	-0,4	2,48
48,0	-0,3	2,69
48,1	-0,2	2,83
48,2	0,0	2,88
48,3	0,2	2,85
48,4	0,3	2,73
48,5	0,4	2,54
48,6	0,5	2,32
48,7	0,4	2,10
48,8	0,2	1,93
48,9	0,2	1,83
49,0	0,0	1,82
49,1	-0,3	1,90
49,2	-0,4	2,04
49,3	-0,4	2,24
49,4	-0,4	2,46
49,5	-0,3	2,67
49,6	-0,2	2,82
49,7	-0,1	2,88
49,8	0,2	2,86
49,9	0,3	2,74
50,0	0,4	2,56
50,1	0,4	2,34
50,2	0,4	2,12
50,3	0,3	1,95
50,4	0,2	1,84
50,5	-0,1	1,82
50,6	-0,3	1,88
50,7	-0,4	2,02
50,8	-0,4	2,23
50,9	-0,4	2,44
51,0	-0,3	2,65
51,1	-0,2	2,80
51,2	0,0	2,88
51,3		2,87
