f2 / Hz	I_2 / A	Z
50	0,001	2996,9
192	0,001	2120,9
322	0,002	1341,8
440	0,002	972,8
548	0,003	749,5
646	0,004	605,5
736	0,004	506,9
818	0,005	430,7
892	0,006	370,6
960	0,007	322,5
1022	0,007	283,3
1079	0,008	251,2
1131	0,009	223,6
1178	0,011	200,9
1221	0,012	182,1
1260	0,013	165,9
1295	0,014	153,1
1328	0,015	142,4
1358	0,016	134,2
1385	0,017	127,5
1410	0,017	122,3
1432	0,018	118,5
1453	0,018	115,9
1471	0,019	114,0
1488	0,019	113,0
1504	0,019	112,4
1520	0,019	112,2
1537	0,019	112,6
1555	0,019	113,6
1576	0,018	115,3
1598	0,018	118,1
1623	0,017	121,6
1650	0,017	126,4
1680	0,016	132,4
1713	0,015	140,0
1748	0,014	149,4
1787	0,013	159,8
1830	0,012	172,7
1877	0,011	187,0
1929	0,010	203,6
1986	0,010	222,1
2048	0,009	242,2
2116	0,008	266,0
2190	0,007	291,2
2272	0,007	321,4
2362	0,006	352,1
2460	0,005	388,7
2568	0,005	428,5
2686	0,004	474,2
2816	0,004	518,4
2958	0,004	582,9
