f2 / Hz	U_2 / V	U_A1 / V	U_B1 / V
50	2,12	0,00	2,10
192	2,12	0,03	2,14
322	2,12	0,10	2,19
440	2,12	0,19	2,28
548	2,12	0,31	2,40
646	2,12	0,46	2,53
736	2,12	0,63	2,69
818	2,12	0,83	2,87
892	2,12	1,06	3,07
960	2,12	1,32	3,30
1022	2,12	1,60	3,55
1079	2,12	1,92	3,82
1131	2,12	2,27	4,11
1178	2,12	2,64	4,41
1221	2,12	3,03	4,71
1260	2,12	3,43	5,01
1295	2,12	3,85	5,31
1328	2,12	4,25	5,58
1358	2,12	4,62	5,82
1385	2,12	4,98	6,01
1410	2,12	5,29	6,17
1432	2,12	5,56	6,28
1453	2,12	5,78	6,35
1471	2,12	5,95	6,37
1488	2,12	6,09	6,37
1504	2,12	6,19	6,34
1520	2,12	6,26	6,29
1537	2,12	6,33	6,21
1555	2,12	6,35	6,09
1576	2,12	6,35	5,93
1598	2,12	6,32	5,73
1623	2,12	6,22	5,48
1650	2,12	6,11	5,20
1680	2,12	5,94	4,89
1713	2,12	5,74	4,55
1748	2,12	5,52	4,19
1787	2,12	5,27	3,83
1830	2,12	5,03	3,48
1877	2,12	4,78	3,15
1929	2,12	4,53	2,83
1986	2,12	4,30	2,53
2048	2,12	4,08	2,26
2116	2,12	3,87	2,02
2190	2,12	3,69	1,79
2272	2,12	3,50	1,58
2362	2,12	3,35	1,40
2460	2,12	3,21	1,24
2568	2,12	3,07	1,09
2686	2,12	2,96	0,96
2816	2,12	2,85	0,86
2958	2,12	2,76	0,74
