f2 / Hz	I_2 / A	Z
50	0,001	2996,9
192	0,001	2120,9
322	0,002	1341,8
440	0,002	972,8
548	0,003	749,5
646	0,004	605,5
736	0,004	499,8
818	0,005	420,0
892	0,006	358,5
960	0,007	307,0
1022	0,008	264,5
1079	0,009	229,6
1131	0,011	198,0
1178	0,012	171,4
1221	0,014	148,1
1260	0,017	127,2
1295	0,019	109,2
1328	0,023	92,8
1358	0,027	79,0
1385	0,032	66,3
1410	0,038	55,4
1432	0,047	45,3
1453	0,057	37,2
1471	0,069	30,5
1488	0,084	25,2
1504	0,097	21,9
1520	0,103	20,7
1537	0,097	21,9
1555	0,082	25,9
1576	0,067	31,8
1598	0,053	40,0
1623	0,043	49,3
1650	0,035	59,9
1680	0,030	71,4
1713	0,025	84,5
1748	0,021	98,9
1787	0,019	114,2
1830	0,016	131,4
1877	0,014	149,8
1929	0,012	170,2
1986	0,011	191,1
2048	0,010	214,9
2116	0,009	234,5
2190	0,008	263,5
2272	0,007	300,6
2362	0,007	321,5
2460	0,006	366,3
2568	0,005	414,0
2686	0,005	457,3
2816	0,005	471,5
2958	0,004	567,1
