v / rad/s	&b_A1 / rad
	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,55
0,0	-2,54
0,0	-2,54
0,0	-2,54
0,0	-2,55
0,1	-2,55
1,2	-2,53
3,6	-2,30
5,8	-1,82
7,4	-1,15
8,2	-0,34
8,1	0,49
7,1	1,27
5,4	1,91
3,0	2,35
0,2	2,51
-2,5	2,39
-5,0	2,00
-6,9	1,39
-8,0	0,63
-8,2	-0,20
-7,5	-1,01
-6,1	-1,71
-3,9	-2,22
-1,4	-2,49
1,4	-2,49
3,9	-2,22
6,0	-1,71
7,5	-1,01
8,2	-0,21
8,0	0,63
6,8	1,38
4,9	1,99
2,5	2,36
-0,2	2,48
-2,9	2,32
-5,3	1,90
-7,0	1,27
-8,0	0,50
-8,1	-0,33
-7,3	-1,13
-5,7	-1,79
-3,5	-2,26
-1,0	-2,49
1,8	-2,45
4,3	-2,13
6,3	-1,58
7,6	-0,87
8,1	-0,07
7,7	0,75
6,5	1,48
4,5	2,05
2,1	2,39
-0,7	2,46
-3,3	2,26
-5,6	1,79
-7,2	1,14
-8,1	0,35
-7,9	-0,47
-7,0	-1,24
-5,3	-1,87
-3,1	-2,30
-0,5	-2,48
2,2	-2,39
4,7	-2,04
6,5	-1,46
7,7	-0,73
8,1	0,07
7,5	0,87
6,2	1,58
4,1	2,11
1,6	2,39
-1,1	2,43
-3,7	2,18
-5,9	1,68
-7,4	1,00
-8,0	0,21
-7,8	-0,60
-6,7	-1,35
-4,9	-1,94
-2,6	-2,33
0,0	-2,46
2,6	-2,33
4,9	-1,94
6,7	-1,34
7,8	-0,61
8,0	0,21
7,3	1,00
5,8	1,67
3,7	2,15
1,2	2,40
-1,6	2,38
-4,1	2,09
-6,1	1,56
-7,4	0,87
-8,0	0,08
-7,6	-0,73
-6,5	-1,44
-4,5	-2,01
-2,2	-2,35
0,4	-2,45
3,0	-2,27
5,3	-1,84
6,9	-1,22
7,8	-0,46
7,9	0,34
7,1	1,11
5,4	1,75
3,2	2,19
0,7	2,39
-1,9	2,33
-4,4	2,00
-6,3	1,46
-7,5	0,75
-7,9	-0,05
-7,4	-0,84
-6,1	-1,53
-4,2	-2,06
-1,7	-2,37
0,8	-2,41
3,3	-2,20
5,5	-1,74
7,1	-1,10
7,8	-0,34
7,7	0,46
6,8	1,21
5,1	1,82
2,9	2,23
0,2	2,39
-2,4	2,27
-4,6	1,92
-6,5	1,34
-7,6	0,62
-7,8	-0,17
-7,2	-0,94
-5,8	-1,62
-3,8	-2,10
-1,3	-2,37
1,2	-2,37
3,7	-2,12
5,8	-1,63
7,1	-0,97
7,8	-0,21
7,6	0,58
6,5	1,31
4,7	1,89
2,4	2,25
-0,1	2,36
-2,7	2,22
-5,0	1,82
-6,7	1,22
-7,6	0,49
-7,7	-0,30
-7,0	-1,06
-5,5	-1,70
-3,4	-2,16
-0,9	-2,37
1,7	-2,33
4,0	-2,04
6,0	-1,52
7,3	-0,85
7,8	-0,07
7,4	0,70
6,2	1,41
4,3	1,95
2,0	2,27
-0,6	2,35
-3,2	2,15
-5,3	1,71
-6,8	1,10
-7,6	0,35
-7,6	-0,43
-6,7	-1,17
-5,1	-1,77
-2,9	-2,19
-0,5	-2,36
2,1	-2,28
4,4	-1,95
6,2	-1,41
7,4	-0,71
7,7	0,06
7,2	0,82
5,9	1,50
3,9	2,00
1,5	2,28
-1,0	2,31
-3,4	2,08
-5,5	1,63
-7,0	0,98
-7,7	0,23
-7,4	-0,55
-6,5	-1,26
-4,7	-1,85
-2,5	-2,21
-0,1	-2,35
2,4	-2,23
4,7	-1,87
6,3	-1,30
7,4	-0,60
7,6	0,18
7,0	0,94
5,5	1,58
3,5	2,04
1,1	2,28
-1,4	2,27
-3,8	2,00
-5,7	1,51
-7,0	0,86
-7,6	0,10
-7,3	-0,66
-6,2	-1,35
-4,4	-1,90
-2,2	-2,24
0,4	-2,33
2,8	-2,17
5,0	-1,77
6,5	-1,18
7,4	-0,47
7,5	0,31
6,8	1,04
5,2	1,66
3,1	2,08
0,8	2,28
-1,8	2,23
-4,1	1,92
-5,9	1,41
-7,1	0,75
-7,6	-0,02
-7,1	-0,77
-5,9	-1,45
-4,0	-1,95
-1,8	-2,25
0,8	-2,30
3,1	-2,10
5,1	-1,68
6,7	-1,07
7,5	-0,34
7,4	0,42
6,5	1,14
4,9	1,72
2,7	2,11
0,4	2,27
-2,1	2,19
-4,4	1,84
-6,1	1,30
-7,2	0,62
-7,5	-0,13
-6,9	-0,89
-5,6	-1,53
-3,6	-2,00
-1,3	-2,25
1,1	-2,27
3,5	-2,03
5,4	-1,57
6,8	-0,95
7,4	-0,22
7,2	0,53
6,3	1,23
4,5	1,79
2,3	2,14
-0,1	2,26
-2,5	2,12
-4,7	1,75
-6,3	1,19
-7,2	0,50
-7,4	-0,26
-6,7	-0,98
-5,3	-1,61
-3,2	-2,04
-1,0	-2,25
1,4	-2,23
3,8	-1,96
5,7	-1,47
6,9	-0,83
7,3	-0,09
7,1	0,64
6,0	1,32
4,2	1,84
1,9	2,16
-0,4	2,23
-2,8	2,07
-5,0	1,67
-6,5	1,07
-7,3	0,36
-7,3	-0,38
-6,5	-1,09
-4,9	-1,67
-2,9	-2,07
-0,5	-2,25
1,8	-2,18
4,0	-1,89
5,8	-1,38
7,0	-0,72
7,3	0,03
6,9	0,75
5,7	1,40
3,9	1,89
1,6	2,17
-0,9	2,21
-3,2	1,99
-5,2	1,56
-6,6	0,95
-7,2	0,25
-7,1	-0,49
-6,2	-1,18
-4,6	-1,73
-2,6	-2,09
-0,2	-2,24
2,2	-2,13
4,3	-1,80
6,0	-1,27
7,0	-0,59
7,2	0,13
6,7	0,86
5,4	1,47
3,5	1,94
1,2	2,18
-1,3	2,18
-3,6	1,92
-5,4	1,47
-6,7	0,84
