t / s	v / rad/s
0,0	
0,1	0,0
0,2	0,0
0,3	0,0
0,4	0,0
0,5	0,0
0,6	0,0
0,7	0,0
0,8	0,0
0,9	0,0
1,0	0,0
1,1	0,0
1,2	0,0
1,3	0,0
1,4	0,0
1,5	0,0
1,6	0,0
1,7	0,0
1,8	0,0
1,9	0,0
2,0	0,0
2,1	0,0
2,2	0,1
2,3	1,2
2,4	3,6
2,5	5,8
2,6	7,4
2,7	8,2
2,8	8,1
2,9	7,1
3,0	5,4
3,1	3,0
3,2	0,2
3,3	-2,5
3,4	-5,0
3,5	-6,9
3,6	-8,0
3,7	-8,2
3,8	-7,5
3,9	-6,1
4,0	-3,9
4,1	-1,4
4,2	1,4
4,3	3,9
4,4	6,0
4,5	7,5
4,6	8,2
4,7	8,0
4,8	6,8
4,9	4,9
5,0	2,5
5,1	-0,2
5,2	-2,9
5,3	-5,3
5,4	-7,0
5,5	-8,0
5,6	-8,1
5,7	-7,3
5,8	-5,7
5,9	-3,5
6,0	-1,0
6,1	1,8
6,2	4,3
6,3	6,3
6,4	7,6
6,5	8,1
6,6	7,7
6,7	6,5
6,8	4,5
6,9	2,1
7,0	-0,7
7,1	-3,3
7,2	-5,6
7,3	-7,2
7,4	-8,1
7,5	-7,9
7,6	-7,0
7,7	-5,3
7,8	-3,1
7,9	-0,5
8,0	2,2
8,1	4,7
8,2	6,5
8,3	7,7
8,4	8,1
8,5	7,5
8,6	6,2
8,7	4,1
8,8	1,6
8,9	-1,1
9,0	-3,7
9,1	-5,9
9,2	-7,4
9,3	-8,0
9,4	-7,8
9,5	-6,7
9,6	-4,9
9,7	-2,6
9,8	0,0
9,9	2,6
10,0	4,9
10,1	6,7
10,2	7,8
10,3	8,0
10,4	7,3
10,5	5,8
10,6	3,7
10,7	1,2
10,8	-1,6
10,9	-4,1
11,0	-6,1
11,1	-7,4
11,2	-8,0
11,3	-7,6
11,4	-6,5
11,5	-4,5
11,6	-2,2
11,7	0,4
11,8	3,0
11,9	5,3
12,0	6,9
12,1	7,8
12,2	7,9
12,3	7,1
12,4	5,4
12,5	3,2
12,6	0,7
12,7	-1,9
12,8	-4,4
12,9	-6,3
13,0	-7,5
13,1	-7,9
13,2	-7,4
13,3	-6,1
13,4	-4,2
13,5	-1,7
13,6	0,8
13,7	3,3
13,8	5,5
13,9	7,1
14,0	7,8
14,1	7,7
14,2	6,8
14,3	5,1
14,4	2,9
14,5	0,2
14,6	-2,4
14,7	-4,6
14,8	-6,5
14,9	-7,6
15,0	-7,8
15,1	-7,2
15,2	-5,8
15,3	-3,8
15,4	-1,3
15,5	1,2
15,6	3,7
15,7	5,8
15,8	7,1
15,9	7,8
16,0	7,6
16,1	6,5
16,2	4,7
16,3	2,4
16,4	-0,1
16,5	-2,7
16,6	-5,0
16,7	-6,7
16,8	-7,6
16,9	-7,7
17,0	-7,0
17,1	-5,5
17,2	-3,4
17,3	-0,9
17,4	1,7
17,5	4,0
17,6	6,0
17,7	7,3
17,8	7,8
17,9	7,4
18,0	6,2
18,1	4,3
18,2	2,0
18,3	-0,6
18,4	-3,2
18,5	-5,3
18,6	-6,8
18,7	-7,6
18,8	-7,6
18,9	-6,7
19,0	-5,1
19,1	-2,9
19,2	-0,5
19,3	2,1
19,4	4,4
19,5	6,2
19,6	7,4
19,7	7,7
19,8	7,2
19,9	5,9
20,0	3,9
20,1	1,5
20,2	-1,0
20,3	-3,4
20,4	-5,5
20,5	-7,0
20,6	-7,7
20,7	-7,4
20,8	-6,5
20,9	-4,7
21,0	-2,5
21,1	-0,1
21,2	2,4
21,3	4,7
21,4	6,3
21,5	7,4
21,6	7,6
21,7	7,0
21,8	5,5
21,9	3,5
22,0	1,1
22,1	-1,4
22,2	-3,8
22,3	-5,7
22,4	-7,0
22,5	-7,6
22,6	-7,3
22,7	-6,2
22,8	-4,4
22,9	-2,2
23,0	0,4
23,1	2,8
23,2	5,0
23,3	6,5
23,4	7,4
23,5	7,5
23,6	6,8
23,7	5,2
23,8	3,1
23,9	0,8
24,0	-1,8
24,1	-4,1
24,2	-5,9
24,3	-7,1
24,4	-7,6
24,5	-7,1
24,6	-5,9
24,7	-4,0
24,8	-1,8
24,9	0,8
25,0	3,1
25,1	5,1
25,2	6,7
25,3	7,5
25,4	7,4
25,5	6,5
25,6	4,9
25,7	2,7
25,8	0,4
25,9	-2,1
26,0	-4,4
26,1	-6,1
26,2	-7,2
26,3	-7,5
26,4	-6,9
26,5	-5,6
26,6	-3,6
26,7	-1,3
26,8	1,1
26,9	3,5
27,0	5,4
27,1	6,8
27,2	7,4
27,3	7,2
27,4	6,3
27,5	4,5
27,6	2,3
27,7	-0,1
27,8	-2,5
27,9	-4,7
28,0	-6,3
28,1	-7,2
28,2	-7,4
28,3	-6,7
28,4	-5,3
28,5	-3,2
28,6	-1,0
28,7	1,4
28,8	3,8
28,9	5,7
29,0	6,9
29,1	7,3
29,2	7,1
29,3	6,0
29,4	4,2
29,5	1,9
29,6	-0,4
29,7	-2,8
29,8	-5,0
29,9	-6,5
30,0	-7,3
30,1	-7,3
30,2	-6,5
30,3	-4,9
30,4	-2,9
30,5	-0,5
30,6	1,8
30,7	4,0
30,8	5,8
30,9	7,0
31,0	7,3
31,1	6,9
31,2	5,7
31,3	3,9
31,4	1,6
31,5	-0,9
31,6	-3,2
31,7	-5,2
31,8	-6,6
31,9	-7,2
32,0	-7,1
32,1	-6,2
32,2	-4,6
32,3	-2,6
32,4	-0,2
32,5	2,2
32,6	4,3
32,7	6,0
32,8	7,0
32,9	7,2
33,0	6,7
33,1	5,4
33,2	3,5
33,3	1,2
33,4	-1,3
33,5	-3,6
33,6	-5,4
33,7	-6,7
33,8	-7,2
33,9	-7,0
34,0	-6,0
34,1	-4,3
34,2	-2,1
34,3	0,2
34,4	2,5
34,5	4,6
34,6	6,1
34,7	7,0
34,8	7,2
34,9	6,5
35,0	5,2
35,1	3,1
35,2	0,8
35,3	-1,6
35,4	-3,8
35,5	-5,6
35,6	-6,8
35,7	-7,2
35,8	-6,8
35,9	-5,7
36,0	-3,9
36,1	-1,8
36,2	0,5
36,3	2,9
36,4	4,8
36,5	6,3
36,6	7,1
36,7	7,1
36,8	6,3
36,9	4,8
37,0	2,7
37,1	0,5
37,2	-1,9
37,3	-4,1
37,4	-5,8
37,5	-6,8
37,6	-7,2
37,7	-6,6
37,8	-5,4
37,9	-3,6
38,0	-1,4
38,1	0,9
38,2	3,2
38,3	5,1
38,4	6,4
38,5	7,1
38,6	6,9
38,7	6,0
38,8	4,5
38,9	2,4
39,0	0,0
39,1	-2,2
39,2	-4,3
39,3	-6,0
39,4	-6,9
39,5	-7,0
39,6	-6,4
39,7	-5,2
39,8	-3,2
39,9	-1,0
40,0	1,2
40,1	3,4
40,2	5,3
40,3	6,5
40,4	7,0
