t / s	&b_A1 / rad
0,0	-2,59
0,1	-2,60
0,2	-2,58
0,3	-2,58
0,4	-2,58
0,5	-2,58
0,6	-2,58
0,7	-2,58
0,8	-2,58
0,9	-2,58
1,0	-2,58
1,1	-2,58
1,2	-2,58
1,3	-2,58
1,4	-2,58
1,5	-2,58
1,6	-2,58
1,7	-2,58
1,8	-2,58
1,9	-2,57
2,0	-2,57
2,1	-2,58
2,2	-2,57
2,3	-2,57
2,4	-2,56
2,5	-2,57
2,6	-2,57
2,7	-2,51
2,8	-2,26
2,9	-1,78
3,0	-1,11
3,1	-0,32
3,2	0,51
3,3	1,27
3,4	1,90
3,5	2,31
3,6	2,46
3,7	2,33
3,8	1,95
3,9	1,34
4,0	0,59
4,1	-0,22
4,2	-1,01
4,3	-1,67
4,4	-2,17
4,5	-2,41
4,6	-2,41
4,7	-2,13
4,8	-1,63
4,9	-0,96
5,0	-0,17
5,1	0,63
5,2	1,35
5,3	1,92
5,4	2,27
5,5	2,39
5,6	2,22
5,7	1,80
5,8	1,19
5,9	0,46
6,0	-0,33
6,1	-1,09
6,2	-1,72
6,3	-2,17
6,4	-2,37
6,5	-2,32
6,6	-2,01
6,7	-1,49
6,8	-0,81
6,9	-0,04
7,0	0,73
7,1	1,42
7,2	1,94
7,3	2,24
7,4	2,31
7,5	2,11
7,6	1,67
7,7	1,06
7,8	0,31
7,9	-0,44
8,0	-1,17
8,1	-1,75
8,2	-2,15
8,3	-2,30
8,4	-2,21
8,5	-1,89
8,6	-1,35
8,7	-0,67
8,8	0,09
8,9	0,82
9,0	1,47
9,1	1,95
9,2	2,21
9,3	2,23
9,4	1,99
9,5	1,54
9,6	0,92
9,7	0,19
9,8	-0,56
9,9	-1,23
10,0	-1,77
10,1	-2,13
10,2	-2,25
10,3	-2,12
10,4	-1,77
10,5	-1,21
10,6	-0,54
10,7	0,19
10,8	0,90
10,9	1,51
11,0	1,95
11,1	2,16
11,2	2,15
11,3	1,88
11,4	1,41
11,5	0,79
11,6	0,08
11,7	-0,65
11,8	-1,28
11,9	-1,79
12,0	-2,09
12,1	-2,17
12,2	-2,01
12,3	-1,65
12,4	-1,09
12,5	-0,41
12,6	0,31
12,7	0,98
12,8	1,55
12,9	1,94
13,0	2,11
13,1	2,06
13,2	1,77
13,3	1,28
13,4	0,67
13,5	-0,04
13,6	-0,73
13,7	-1,33
13,8	-1,79
13,9	-2,06
14,0	-2,10
14,1	-1,91
14,2	-1,53
14,3	-0,96
14,4	-0,30
14,5	0,39
14,6	1,04
14,7	1,57
14,8	1,92
14,9	2,06
15,0	1,97
15,1	1,66
15,2	1,17
15,3	0,55
15,4	-0,13
15,5	-0,80
15,6	-1,37
15,7	-1,79
15,8	-2,02
15,9	-2,03
16,0	-1,81
16,1	-1,40
16,2	-0,85
16,3	-0,19
16,4	0,48
16,5	1,10
16,6	1,59
16,7	1,90
16,8	2,00
16,9	1,88
17,0	1,55
17,1	1,05
17,2	0,43
17,3	-0,23
17,4	-0,86
17,5	-1,40
17,6	-1,79
17,7	-1,97
17,8	-1,95
17,9	-1,71
18,0	-1,29
18,1	-0,73
18,2	-0,09
18,3	0,56
18,4	1,14
18,5	1,59
18,6	1,87
18,7	1,94
18,8	1,79
18,9	1,44
19,0	0,93
19,1	0,33
19,2	-0,32
19,3	-0,93
19,4	-1,42
19,5	-1,77
19,6	-1,93
19,7	-1,87
19,8	-1,61
19,9	-1,18
20,0	-0,61
20,1	0,02
20,2	0,63
20,3	1,19
20,4	1,60
20,5	1,84
20,6	1,87
20,7	1,70
20,8	1,33
20,9	0,83
21,0	0,23
21,1	-0,39
21,2	-0,97
21,3	-1,45
21,4	-1,76
21,5	-1,87
21,6	-1,79
21,7	-1,51
21,8	-1,06
21,9	-0,51
22,0	0,11
22,1	0,70
22,2	1,22
22,3	1,60
22,4	1,80
22,5	1,80
22,6	1,61
22,7	1,23
22,8	0,72
22,9	0,13
23,0	-0,47
23,1	-1,02
23,2	-1,45
23,3	-1,73
23,4	-1,82
23,5	-1,71
23,6	-1,41
23,7	-0,96
23,8	-0,41
23,9	0,19
24,0	0,76
24,1	1,24
24,2	1,59
24,3	1,76
24,4	1,74
24,5	1,51
24,6	1,13
24,7	0,62
24,8	0,03
24,9	-0,54
25,0	-1,06
25,1	-1,46
25,2	-1,70
25,3	-1,76
25,4	-1,62
25,5	-1,32
25,6	-0,86
25,7	-0,32
25,8	0,27
25,9	0,81
26,0	1,27
26,1	1,58
26,2	1,71
26,3	1,67
26,4	1,43
26,5	1,03
26,6	0,51
26,7	-0,05
26,8	-0,60
26,9	-1,09
27,0	-1,46
27,1	-1,67
27,2	-1,70
27,3	-1,54
27,4	-1,22
27,5	-0,76
27,6	-0,22
27,7	0,34
27,8	0,86
27,9	1,28
28,0	1,56
28,1	1,67
28,2	1,59
28,3	1,34
28,4	0,93
28,5	0,43
28,6	-0,12
28,7	-0,65
28,8	-1,11
28,9	-1,45
29,0	-1,63
29,1	-1,63
29,2	-1,45
29,3	-1,13
29,4	-0,66
29,5	-0,14
29,6	0,40
29,7	0,90
29,8	1,29
29,9	1,54
30,0	1,62
30,1	1,51
30,2	1,24
30,3	0,83
30,4	0,34
30,5	-0,19
30,6	-0,70
30,7	-1,13
30,8	-1,44
30,9	-1,59
31,0	-1,57
31,1	-1,37
31,2	-1,03
31,3	-0,57
31,4	-0,06
31,5	0,46
31,6	0,93
31,7	1,29
31,8	1,51
31,9	1,56
