t / s	&b_A1 / rad
0,0	1,15
0,1	1,15
0,2	1,07
0,3	0,95
0,4	0,79
0,5	0,62
0,6	0,44
0,7	0,29
0,8	0,17
0,9	0,10
1,0	0,09
1,1	0,13
1,2	0,23
1,3	0,36
1,4	0,52
1,5	0,70
1,6	0,86
1,7	1,00
1,8	1,10
1,9	1,14
2,0	1,13
2,1	1,07
2,2	0,95
2,3	0,80
2,4	0,63
2,5	0,46
2,6	0,31
2,7	0,19
2,8	0,12
2,9	0,11
3,0	0,14
3,1	0,23
3,2	0,35
3,3	0,51
3,4	0,68
3,5	0,84
3,6	0,98
3,7	1,07
3,8	1,12
3,9	1,11
4,0	1,05
4,1	0,95
4,2	0,80
4,3	0,64
4,4	0,48
4,5	0,33
4,6	0,21
4,7	0,14
4,8	0,12
4,9	0,15
5,0	0,23
5,1	0,36
5,2	0,51
5,3	0,67
5,4	0,83
5,5	0,96
5,6	1,06
5,7	1,10
5,8	1,10
5,9	1,04
6,0	0,94
6,1	0,80
6,2	0,65
6,3	0,49
6,4	0,35
6,5	0,23
6,6	0,16
6,7	0,14
6,8	0,17
6,9	0,24
7,0	0,36
7,1	0,51
7,2	0,67
7,3	0,82
7,4	0,95
7,5	1,03
7,6	1,08
7,7	1,08
7,8	1,03
7,9	0,94
8,0	0,80
8,1	0,66
8,2	0,50
8,3	0,36
8,4	0,25
8,5	0,18
8,6	0,15
8,7	0,18
8,8	0,26
8,9	0,37
9,0	0,51
9,1	0,66
9,2	0,80
9,3	0,93
9,4	1,02
9,5	1,07
9,6	1,07
9,7	1,02
9,8	0,92
9,9	0,79
10,0	0,66
10,1	0,51
10,2	0,37
10,3	0,27
10,4	0,19
10,5	0,17
10,6	0,19
10,7	0,27
10,8	0,38
10,9	0,51
11,0	0,66
11,1	0,79
11,2	0,91
11,3	1,00
11,4	1,05
11,5	1,05
11,6	1,00
11,7	0,91
11,8	0,79
11,9	0,66
12,0	0,51
12,1	0,39
12,2	0,28
12,3	0,21
12,4	0,19
12,5	0,22
12,6	0,28
12,7	0,39
12,8	0,51
12,9	0,66
13,0	0,79
13,1	0,91
13,2	0,99
13,3	1,03
13,4	1,03
13,5	0,99
13,6	0,90
13,7	0,79
13,8	0,65
13,9	0,51
14,0	0,39
14,1	0,29
14,2	0,23
14,3	0,21
14,4	0,23
14,5	0,30
14,6	0,39
14,7	0,52
14,8	0,66
14,9	0,79
15,0	0,89
15,1	0,97
15,2	1,01
15,3	1,01
15,4	0,97
15,5	0,89
15,6	0,78
15,7	0,65
15,8	0,52
15,9	0,40
16,0	0,31
16,1	0,24
16,2	0,23
16,3	0,25
16,4	0,31
16,5	0,41
16,6	0,53
16,7	0,66
16,8	0,78
16,9	0,88
17,0	0,96
17,1	0,99
17,2	0,99
17,3	0,95
17,4	0,87
17,5	0,77
17,6	0,64
17,7	0,52
17,8	0,41
17,9	0,31
18,0	0,26
18,1	0,24
18,2	0,27
18,3	0,32
18,4	0,42
18,5	0,54
18,6	0,66
18,7	0,78
18,8	0,87
18,9	0,95
19,0	0,98
19,1	0,98
19,2	0,94
19,3	0,86
19,4	0,75
19,5	0,64
19,6	0,52
19,7	0,41
19,8	0,33
19,9	0,27
20,0	0,26
20,1	0,28
20,2	0,34
20,3	0,43
20,4	0,54
20,5	0,66
20,6	0,77
20,7	0,87
20,8	0,93
20,9	0,96
21,0	0,96
21,1	0,91
21,2	0,84
21,3	0,75
21,4	0,63
21,5	0,52
21,6	0,42
21,7	0,34
21,8	0,29
21,9	0,27
22,0	0,30
22,1	0,35
22,2	0,44
22,3	0,55
22,4	0,66
22,5	0,77
22,6	0,86
22,7	0,92
22,8	0,95
22,9	0,95
23,0	0,91
23,1	0,83
23,2	0,74
23,3	0,63
23,4	0,52
23,5	0,42
23,6	0,35
23,7	0,30
23,8	0,29
23,9	0,31
24,0	0,37
24,1	0,46
24,2	0,56
24,3	0,67
24,4	0,77
24,5	0,85
24,6	0,91
24,7	0,94
24,8	0,93
24,9	0,88
25,0	0,82
25,1	0,72
25,2	0,62
25,3	0,51
25,4	0,43
25,5	0,35
25,6	0,31
25,7	0,31
25,8	0,33
25,9	0,39
