t / s	v / rad/s	U_B1 / V
0,0		2,11
0,1	-0,1	2,28
0,2	0,6	2,46
0,3	1,2	2,62
0,4	1,6	2,76
0,5	1,8	2,85
0,6	1,9	2,89
0,7	1,7	2,86
0,8	1,4	2,78
0,9	0,9	2,65
1,0	0,3	2,49
1,1	-0,3	2,31
1,2	-0,9	2,14
1,3	-1,4	1,99
1,4	-1,8	1,88
1,5	-1,9	1,82
1,6	-1,8	1,82
1,7	-1,6	1,87
1,8	-1,2	1,97
1,9	-0,6	2,12
2,0	0,1	2,29
2,1	0,6	2,46
2,2	1,2	2,64
2,3	1,6	2,76
2,4	1,9	2,86
2,5	1,9	2,88
2,6	1,7	2,86
2,7	1,4	2,78
2,8	0,9	2,65
2,9	0,3	2,48
3,0	-0,4	2,30
3,1	-0,9	2,13
3,2	-1,5	1,98
3,3	-1,8	1,88
3,4	-1,9	1,82
3,5	-1,8	1,82
3,6	-1,6	1,87
3,7	-1,1	1,98
3,8	-0,6	2,12
3,9	0,1	2,30
4,0	0,6	2,47
4,1	1,2	2,63
4,2	1,6	2,77
4,3	1,9	2,86
4,4	1,9	2,88
4,5	1,7	2,86
4,6	1,3	2,78
4,7	0,9	2,64
4,8	0,3	2,47
4,9	-0,4	2,30
5,0	-1,0	2,13
5,1	-1,4	1,98
5,2	-1,8	1,88
5,3	-1,9	1,82
5,4	-1,9	1,82
5,5	-1,6	1,88
5,6	-1,1	1,99
5,7	-0,5	2,14
5,8	0,1	2,30
5,9	0,7	2,48
6,0	1,2	2,65
6,1	1,6	2,78
6,2	1,9	2,86
6,3	1,9	2,89
6,4	1,7	2,86
6,5	1,3	2,76
6,6	0,9	2,63
6,7	0,3	2,46
6,8	-0,4	2,28
6,9	-1,0	2,11
7,0	-1,5	1,96
7,1	-1,8	1,87
7,2	-1,9	1,82
7,3	-1,8	1,82
7,4	-1,5	1,88
7,5	-1,1	1,99
7,6	-0,5	2,14
7,7	0,1	2,32
7,8	0,7	2,49
7,9	1,2	2,65
8,0	1,6	2,78
8,1	1,9	2,86
8,2	1,9	2,89
8,3	1,7	2,85
8,4	1,3	2,76
8,5	0,8	2,62
8,6	0,2	2,45
8,7	-0,5	2,27
8,8	-1,1	2,10
8,9	-1,5	1,96
9,0	-1,8	1,87
9,1	-1,9	1,82
9,2	-1,8	1,82
9,3	-1,5	1,89
9,4	-1,0	2,00
9,5	-0,5	2,15
9,6	0,1	2,33
9,7	0,7	2,51
9,8	1,3	2,67
9,9	1,7	2,79
10,0	1,9	2,87
10,1	1,9	2,89
10,2	1,7	2,85
10,3	1,3	2,75
10,4	0,7	2,60
10,5	0,1	2,43
10,6	-0,5	2,25
10,7	-1,1	2,08
10,8	-1,5	1,94
10,9	-1,8	1,86
11,0	-2,0	1,82
11,1	-1,8	1,83
11,2	-1,4	1,90
11,3	-1,0	2,02
11,4	-0,5	2,18
11,5	0,1	2,35
11,6	0,8	2,53
11,7	1,3	2,68
11,8	1,7	2,81
11,9	1,9	2,87
12,0	1,9	2,88
12,1	1,7	2,84
12,2	1,3	2,72
12,3	0,8	2,58
12,4	0,1	2,41
12,5	-0,5	2,24
12,6	-1,1	2,06
12,7	-1,5	1,94
12,8	-1,8	1,85
12,9	-1,9	1,81
13,0	-1,8	1,83
13,1	-1,5	1,91
13,2	-1,0	2,04
13,3	-0,4	2,20
13,4	0,2	2,37
13,5	0,8	2,55
13,6	1,3	2,70
13,7	1,7	2,82
13,8	1,9	2,88
13,9	1,9	2,88
14,0	1,6	2,83
14,1	1,2	2,72
14,2	0,7	2,57
14,3	0,0	2,39
14,4	-0,6	2,21
14,5	-1,1	2,06
14,6	-1,6	1,93
14,7	-1,9	1,85
14,8	-1,9	1,82
14,9	-1,8	1,84
15,0	-1,4	1,92
15,1	-0,9	2,05
15,2	-0,3	2,21
15,3	0,3	2,39
15,4	0,9	2,56
15,5	1,4	2,71
15,6	1,8	2,82
15,7	1,9	2,88
15,8	1,8	2,88
15,9	1,6	2,82
16,0	1,2	2,71
16,1	0,6	2,56
16,2	0,0	2,38
16,3	-0,6	2,20
16,4	-1,2	2,05
16,5	-1,7	1,93
16,6	-1,9	1,84
16,7	-1,9	1,82
16,8	-1,7	1,85
16,9	-1,4	1,93
17,0	-0,9	2,06
17,1	-0,2	2,22
17,2	0,4	2,40
17,3	0,9	2,57
17,4	1,4	2,72
17,5	1,8	2,83
17,6	1,9	2,88
17,7	1,9	2,88
17,8	1,6	2,82
17,9	1,1	2,69
18,0	0,6	2,55
18,1	0,0	2,38
18,2	-0,7	2,20
18,3	-1,2	2,03
18,4	-1,6	1,91
18,5	-1,9	1,84
18,6	-1,9	1,82
18,7	-1,7	1,85
18,8	-1,4	1,94
18,9	-0,8	2,07
19,0	-0,2	2,24
19,1	0,4	2,41
19,2	1,0	2,59
19,3	1,5	2,73
19,4	1,7	2,84
19,5	1,9	2,88
19,6	1,8	2,88
19,7	1,5	2,81
19,8	1,1	2,69
19,9	0,5	2,53
20,0	-0,1	2,36
20,1	-0,8	2,18
20,2	-1,3	2,03
20,3	-1,6	1,90
20,4	-1,9	1,83
20,5	-1,9	1,81
20,6	-1,7	1,86
20,7	-1,3	1,94
20,8	-0,8	2,08
20,9	-0,2	2,25
21,0	0,4	2,42
21,1	1,1	2,60
21,2	1,4	2,73
21,3	1,8	2,84
21,4	2,0	2,89
21,5	1,8	2,88
21,6	1,5	2,80
21,7	1,1	2,68
21,8	0,5	2,52
21,9	-0,2	2,35
22,0	-0,8	2,17
22,1	-1,3	2,02
22,2	-1,7	1,90
22,3	-1,9	1,83
22,4	-1,9	1,82
22,5	-1,7	1,86
22,6	-1,2	1,95
22,7	-0,8	2,09
22,8	-0,1	2,25
22,9	0,5	2,43
23,0	1,0	2,60
23,1	1,5	2,75
23,2	1,9	2,84
23,3	1,9	2,88
23,4	1,8	2,87
23,5	1,5	2,80
23,6	1,0	2,68
23,7	0,4	2,52
23,8	-0,2	2,33
23,9	-0,8	2,16
24,0	-1,3	2,01
24,1	-1,7	1,90
24,2	-1,9	1,83
24,3	-1,9	1,82
24,4	-1,6	1,86
24,5	-1,2	1,95
24,6	-0,7	2,10
24,7	-0,1	2,26
24,8	0,5	2,44
24,9	1,1	2,61
25,0	1,6	2,74
25,1	1,8	2,84
25,2	1,9	2,88
25,3	1,8	2,87
25,4	1,5	2,80
25,5	1,0	2,67
25,6	0,4	2,51
25,7	-0,3	2,34
25,8	-0,9	2,15
25,9	-1,4	2,01
26,0	-1,7	1,90
26,1	-1,9	1,83
26,2	-1,9	1,82
26,3	-1,6	1,86
26,4	-1,2	1,96
26,5	-0,7	2,11
26,6	-0,1	2,27
26,7	0,5	2,46
26,8	1,2	2,62
26,9	1,5	2,76
27,0	1,8	2,85
27,1	1,9	2,88
27,2	1,8	2,87
27,3	1,4	2,79
27,4	0,9	2,66
27,5	0,4	2,49
27,6	-0,3	2,31
27,7	-0,9	2,14
27,8	-1,3	1,99
27,9	-1,7	1,88
28,0	-1,9	1,83
28,1	-1,9	1,82
28,2	-1,6	1,87
28,3	-1,2	1,98
28,4	-0,6	2,12
28,5	-0,1	2,29
28,6	0,6	2,48
28,7	1,2	2,64
28,8	1,6	2,77
28,9	1,8	2,85
29,0	1,9	2,89
29,1	1,8	2,86
29,2	1,4	2,78
29,3	0,9	2,64
29,4	0,3	2,48
29,5	-0,3	2,30
29,6	-0,9	2,13
29,7	-1,4	1,98
29,8	-1,8	1,87
29,9	-1,9	1,82
30,0	-1,8	1,82
30,1	-1,6	1,88
30,2	-1,2	1,99
30,3	-0,6	2,14
30,4	0,0	2,31
30,5	0,7	2,49
30,6	1,2	2,65
30,7	1,6	2,78
30,8	1,9	2,87
30,9	1,9	2,89
31,0	1,7	2,86
31,1	1,3	2,77
31,2	0,9	2,63
31,3	0,3	2,46
31,4	-0,4	2,27
31,5	-0,9	2,10
31,6	-1,5	1,96
31,7	-1,8	1,87
31,8	-1,9	1,82
31,9	-1,9	1,83
32,0	-1,6	1,90
32,1	-1,1	2,01
32,2	-0,5	2,16
32,3	0,1	2,34
32,4	0,7	2,51
32,5	1,2	2,67
32,6	1,6	2,79
32,7	1,8	2,87
32,8	1,9	2,89
32,9	1,7	2,85
33,0	1,3	2,75
33,1	0,9	2,60
33,2	0,3	2,44
33,3	-0,4	2,26
33,4	-1,0	2,09
33,5	-1,5	1,95
33,6	-1,8	1,86
33,7	-1,9	1,82
33,8	-1,8	1,84
33,9	-1,5	1,90
34,0	-1,1	2,02
34,1	-0,5	2,18
34,2	0,1	2,35
34,3	0,8	2,53
34,4	1,3	2,68
34,5	1,7	2,81
34,6	1,9	2,88
34,7	1,8	2,89
34,8	1,7	2,85
34,9	1,3	2,74
35,0	0,8	2,60
35,1	0,1	2,42
35,2	-0,5	2,24
35,3	-1,1	2,07
35,4	-1,5	1,94
35,5	-1,8	1,86
35,6	-1,9	1,82
35,7	-1,8	1,84
35,8	-1,5	1,91
35,9	-1,0	2,03
36,0	-0,4	2,20
36,1	0,2	2,37
36,2	0,8	2,54
36,3	1,4	2,70
36,4	1,7	2,81
36,5	1,9	2,88
36,6	1,9	2,89
36,7	1,6	2,84
36,8	1,3	2,72
36,9	0,7	2,58
37,0	0,1	2,41
37,1	-0,5	2,22
37,2	-1,1	2,07
37,3	-1,6	1,93
37,4	-1,9	1,86
37,5	-1,9	1,82
37,6	-1,8	1,84
37,7	-1,4	1,92
37,8	-0,9	2,05
37,9	-0,4	2,21
38,0	0,3	2,39
38,1	0,9	2,56
38,2	1,4	2,71
38,3	1,7	2,82
38,4	1,9	2,89
38,5	1,9	2,88
38,6	1,6	2,83
38,7	1,2	2,73
38,8	0,6	2,56
38,9	0,0	2,40
39,0	-0,5	2,22
39,1	-1,1	2,06
39,2	-1,6	1,93
39,3	-1,8	1,85
39,4	-1,9	1,82
39,5	-1,8	1,84
39,6	-1,4	1,92
39,7	-0,9	2,06
39,8	-0,3	2,22
39,9	0,3	2,39
40,0	0,9	2,57
40,1	1,4	2,72
40,2	1,8	2,83
40,3	1,9	2,89
40,4	1,8	2,89
40,5	1,6	2,83
40,6	1,2	2,71
40,7	0,6	2,57
40,8	0,0	2,39
40,9	-0,6	2,21
41,0	-1,2	2,05
41,1	-1,6	1,92
41,2	-1,9	1,84
41,3	-1,9	1,82
41,4	-1,7	1,85
41,5	-1,4	1,93
41,6	-0,9	2,07
41,7	-0,2	2,23
41,8	0,3	2,41
41,9	1,0	2,58
42,0	1,5	2,73
42,1	1,8	2,83
42,2	1,9	2,88
42,3	1,8	2,89
42,4	1,6	2,82
42,5	1,1	2,70
42,6	0,5	2,55
42,7	0,0	2,37
42,8	-0,7	2,20
42,9	-1,2	2,04
43,0	-1,7	1,92
43,1	-1,9	1,84
43,2	-1,9	1,82
43,3	-1,7	1,85
43,4	-1,3	1,94
43,5	-0,9	2,08
43,6	-0,2	2,24
43,7	0,4	2,42
43,8	1,0	2,58
43,9	1,5	2,73
44,0	1,8	2,84
44,1	1,9	2,89
44,2	1,8	2,88
44,3	1,5	2,81
44,4	1,1	2,69
44,5	0,5	2,54
44,6	-0,1	2,36
44,7	-0,7	2,19
44,8	-1,3	2,03
44,9	-1,6	1,91
45,0	-1,8	1,83
45,1	-1,9	1,82
45,2	-1,7	1,85
45,3	-1,3	1,94
45,4	-0,8	2,07
45,5	-0,2	2,25
45,6	0,5	2,42
45,7	1,1	2,59
45,8	1,5	2,73
45,9	1,8	2,83
46,0	1,9	2,88
46,1	1,8	2,88
46,2	1,5	2,81
46,3	1,0	2,69
46,4	0,5	2,53
46,5	-0,1	2,35
46,6	-0,7	2,18
46,7	-1,3	2,02
46,8	-1,7	1,90
46,9	-1,9	1,84
47,0	-1,9	1,82
47,1	-1,7	1,86
47,2	-1,3	1,96
47,3	-0,7	2,10
47,4	-0,1	2,27
47,5	0,5	2,45
47,6	1,1	2,61
