t / s	v / rad/s	U_B1 / V
0,0		1,94
0,1	-1,0	2,09
0,2	-1,0	2,27
0,3	-0,7	2,46
0,4	-0,4	2,65
0,5	-0,1	2,79
0,6	0,3	2,87
0,7	0,6	2,88
0,8	0,9	2,84
0,9	1,0	2,71
1,0	1,0	2,54
1,1	0,8	2,35
1,2	0,6	2,16
1,3	0,3	1,99
1,4	0,0	1,87
1,5	-0,4	1,82
1,6	-0,7	1,83
1,7	-0,9	1,91
1,8	-1,0	2,04
1,9	-0,9	2,21
2,0	-0,8	2,40
2,1	-0,5	2,59
2,2	-0,2	2,74
2,3	0,2	2,85
2,4	0,5	2,89
2,5	0,8	2,86
2,6	0,9	2,77
2,7	1,0	2,61
2,8	0,9	2,42
2,9	0,7	2,23
3,0	0,4	2,05
3,1	0,0	1,91
3,2	-0,3	1,84
3,3	-0,6	1,82
3,4	-0,8	1,87
3,5	-1,0	1,97
3,6	-1,0	2,14
3,7	-0,8	2,32
3,8	-0,6	2,52
3,9	-0,3	2,69
4,0	0,1	2,82
4,1	0,4	2,88
4,2	0,7	2,88
4,3	0,9	2,81
4,4	1,0	2,67
4,5	1,0	2,50
4,6	0,7	2,31
4,7	0,5	2,12
4,8	0,2	1,96
4,9	-0,2	1,86
5,0	-0,5	1,82
5,1	-0,8	1,84
5,2	-1,0	1,93
5,3	-1,0	2,07
5,4	-0,9	2,25
5,5	-0,7	2,44
5,6	-0,4	2,63
5,7	-0,1	2,77
5,8	0,3	2,86
5,9	0,7	2,89
6,0	0,9	2,85
6,1	1,0	2,73
6,2	1,0	2,57
6,3	0,8	2,38
6,4	0,6	2,19
6,5	0,3	2,02
6,6	0,0	1,90
6,7	-0,4	1,83
6,8	-0,8	1,82
6,9	-1,0	1,89
7,0	-1,0	2,01
7,1	-0,9	2,18
7,2	-0,8	2,36
7,3	-0,5	2,56
7,4	-0,2	2,72
7,5	0,2	2,84
7,6	0,5	2,88
7,7	0,8	2,87
7,8	1,0	2,79
7,9	1,0	2,64
8,0	0,9	2,46
8,1	0,7	2,26
8,2	0,5	2,08
8,3	0,0	1,94
8,4	-0,3	1,85
8,5	-0,6	1,82
8,6	-0,9	1,85
8,7	-1,0	1,95
8,8	-1,0	2,11
8,9	-0,9	2,29
9,0	-0,7	2,48
9,1	-0,3	2,66
9,2	0,1	2,79
9,3	0,4	2,87
9,4	0,8	2,88
9,5	0,9	2,83
9,6	1,0	2,70
9,7	1,0	2,54
9,8	0,9	2,35
9,9	0,6	2,16
10,0	0,2	1,99
10,1	-0,1	1,87
10,2	-0,5	1,82
10,3	-0,8	1,83
10,4	-1,0	1,91
10,5	-1,1	2,04
10,6	-1,0	2,22
10,7	-0,8	2,40
10,8	-0,4	2,59
10,9	-0,1	2,74
11,0	0,2	2,86
11,1	0,6	2,88
11,2	0,8	2,87
11,3	1,0	2,76
11,4	1,1	2,61
11,5	0,9	2,42
11,6	0,7	2,23
11,7	0,4	2,05
11,8	0,0	1,91
11,9	-0,3	1,84
12,0	-0,7	1,82
12,1	-1,0	1,87
12,2	-1,1	1,98
12,3	-1,0	2,14
12,4	-0,9	2,32
12,5	-0,6	2,52
12,6	-0,3	2,70
12,7	0,1	2,81
12,8	0,4	2,89
12,9	0,8	2,88
13,0	1,0	2,81
13,1	1,1	2,67
