f2 / Hz	&j_2 / °
50	78,5
192	-80,0
322	-82,2
440	-83,2
548	-83,2
646	-82,8
736	-82,1
818	-81,3
892	-80,3
960	-79,1
1022	-77,5
1079	-75,9
1131	-73,9
1178	-71,6
1221	-68,9
1260	-65,8
1295	-62,1
1328	-57,9
1358	-53,3
1385	-47,8
1410	-42,1
1432	-35,6
1453	-28,8
1471	-22,0
1488	-15,3
1504	-8,6
1520	-2,9
1537	5,8
1555	13,0
1576	20,4
1598	28,1
1623	34,8
1650	41,3
1680	46,6
1713	51,7
1748	56,0
1787	59,3
1830	62,6
1877	65,1
1929	67,4
1986	69,4
2048	71,0
2116	72,1
2190	73,5
2272	74,5
2362	75,7
2460	76,1
2568	77,1
2686	77,3
2816	77,7
2958	78,0
