f2 / Hz	I_2 / A	Z
50	0,001	2996,9
192	0,001	2120,9
322	0,002	1341,8
440	0,002	972,8
548	0,003	749,5
646	0,004	605,5
736	0,004	499,8
818	0,005	422,1
892	0,006	361,0
960	0,007	310,2
1022	0,008	269,3
1079	0,009	235,2
1131	0,010	204,6
1178	0,012	179,7
1221	0,014	157,1
1260	0,015	138,0
1295	0,017	121,7
1328	0,020	107,5
1358	0,022	96,1
1385	0,025	86,1
1410	0,027	78,1
1432	0,030	71,5
1453	0,032	66,8
1471	0,033	63,4
1488	0,035	61,2
1504	0,035	59,9
1520	0,036	59,6
1537	0,035	60,1
1555	0,034	61,7
1576	0,033	64,4
1598	0,031	68,9
1623	0,028	74,8
1650	0,026	82,2
1680	0,023	91,0
1713	0,021	101,5
1748	0,019	114,0
1787	0,017	127,2
1830	0,015	143,0
1877	0,013	160,1
1929	0,012	179,0
1986	0,011	199,8
2048	0,010	221,8
2116	0,009	246,8
2190	0,008	272,6
2272	0,007	306,0
2362	0,006	337,3
2460	0,006	373,4
2568	0,005	418,0
2686	0,005	462,7
2816	0,004	503,6
2958	0,004	572,2
