f2 / Hz	U_2 / V	U_A1 / V	U_B1 / V
50	2,12	0,00	2,10
192	2,12	0,04	2,14
322	2,12	0,10	2,20
440	2,12	0,19	2,29
548	2,12	0,31	2,41
646	2,12	0,46	2,56
736	2,12	0,64	2,73
818	2,12	0,85	2,93
892	2,12	1,09	3,17
960	2,12	1,37	3,44
1022	2,12	1,69	3,75
1079	2,12	2,06	4,10
1131	2,12	2,49	4,51
1178	2,12	2,97	4,96
1221	2,12	3,53	5,48
1260	2,12	4,15	6,06
1295	2,12	4,87	6,72
1328	2,12	5,67	7,39
1358	2,12	6,50	7,81
1385	2,12	7,37	8,11
1410	2,12	7,89	8,33
1432	2,12	8,21	8,50
1453	2,12	8,42	8,62
1471	2,12	8,57	8,70
1488	2,12	8,66	8,75
1504	2,12	8,73	8,77
1520	2,12	8,75	8,76
1537	2,12	8,76	8,73
1555	2,12	8,74	8,66
1576	2,12	8,68	8,54
1598	2,12	8,58	8,37
1623	2,12	8,44	8,11
1650	2,12	8,26	7,75
1680	2,12	8,02	7,15
1713	2,12	7,71	6,30
1748	2,12	7,26	5,52
1787	2,12	6,65	4,83
1830	2,12	6,11	4,23
1877	2,12	5,62	3,70
1929	2,12	5,19	3,24
1986	2,12	4,81	2,84
2048	2,12	4,48	2,48
2116	2,12	4,19	2,18
2190	2,12	3,94	1,92
2272	2,12	3,70	1,67
2362	2,12	3,51	1,48
2460	2,12	3,34	1,30
2568	2,12	3,18	1,12
2686	2,12	3,04	0,99
2816	2,12	2,93	0,92
2958	2,12	2,81	0,76
