f2 / Hz	U_2 / V	U_A1 / V	U_B1 / V
50	2,12	0,00	2,11
192	2,12	0,04	2,14
322	2,12	0,10	2,21
440	2,12	0,19	2,30
548	2,12	0,32	2,41
646	2,12	0,47	2,57
736	2,12	0,64	2,74
818	2,12	0,86	2,95
892	2,12	1,10	3,20
960	2,12	1,39	3,49
1022	2,12	1,74	3,83
1079	2,12	2,12	4,21
1131	2,12	2,58	4,67
1178	2,12	3,12	5,21
1221	2,12	3,76	5,85
1260	2,12	4,52	6,60
1295	2,12	5,46	7,44
1328	2,12	6,59	8,00
1358	2,12	7,69	8,39
1385	2,12	8,31	8,72
1410	2,12	8,74	8,99
1432	2,12	9,08	9,22
1453	2,12	9,32	9,41
1471	2,12	9,52	9,57
1488	2,12	9,65	9,68
1504	2,12	9,73	9,75
1520	2,12	9,76	9,76
1537	2,12	9,75	9,74
1555	2,12	9,66	9,63
1576	2,12	9,53	9,47
1598	2,12	9,35	9,25
1623	2,12	9,14	8,97
1650	2,12	8,90	8,62
1680	2,12	8,63	8,17
1713	2,12	8,30	7,50
1748	2,12	7,91	6,38
1787	2,12	7,40	5,41
1830	2,12	6,67	4,62
1877	2,12	6,02	3,97
1929	2,12	5,49	3,43
1986	2,12	5,04	2,98
2048	2,12	4,65	2,58
2116	2,12	4,37	2,35
2190	2,12	4,05	2,02
2272	2,12	3,78	1,70
2362	2,12	3,62	1,62
2460	2,12	3,40	1,35
2568	2,12	3,22	1,14
2686	2,12	3,08	1,03
2816	2,12	3,00	1,08
2958	2,12	2,84	0,77
