f2 / Hz	&j_2 / °
50	78,8
192	-80,9
322	-83,5
440	-85,1
548	-85,8
646	-85,9
736	-86,0
818	-86,0
892	-85,8
960	-85,5
1022	-85,1
1079	-84,8
1131	-84,0
1178	-83,3
1221	-82,4
1260	-81,1
1295	-79,5
1328	-77,8
1358	-75,6
1385	-72,7
1410	-69,0
1432	-64,0
1453	-57,3
1471	-48,3
1488	-36,2
1504	-20,5
1520	-3,1
1537	18,2
1555	35,6
1576	48,2
1598	57,5
1623	63,6
1650	68,3
1680	71,5
1713	74,2
1748	76,3
1787	77,8
1830	79,1
1877	80,2
1929	80,9
1986	81,6
2048	81,9
2116	81,9
2190	82,4
2272	82,9
2362	83,8
2460	83,4
2568	83,6
2686	83,8
2816	83,6
2958	83,3
