t / s	f_1
0,0           
0,1           0,0000
0,2           0,0000
0,3           0,0000
0,4           0,0000
0,5           0,0000
0,6           0,0000
0,7           0,0000
0,8           0,0000
0,9           0,0000
1,0           0,0000
1,1           0,0000
1,2           0,0000
1,3           0,0000
1,4           0,0000
1,5           0,0000
1,6           0,0000
1,7           0,0000
1,8           0,0000
1,9           0,0000
2,0           0,0000
2,1           0,0000
2,2           0,0000
2,3           0,0010
2,4           0,0089
2,5           0,0231
2,6           0,0376
2,7           0,0466
2,8           0,0454
2,9           0,0349
3,0           0,0199
3,1           0,0061
3,2           0,0000
3,3           0,0045
3,4           0,0173
3,5           0,0327
3,6           0,0440
3,7           0,0462
3,8           0,0393
3,9           0,0256
4,0           0,0107
4,1           0,0013
4,2           0,0013
4,3           0,0106
4,4           0,0251
4,5           0,0391
4,6           0,0471
4,7           0,0442
4,8           0,0320
4,9           0,0164
5,0           0,0043
5,1           0,0000
5,2           0,0057
5,3           0,0191
5,4           0,0343
5,5           0,0445
5,6           0,0457
5,7           0,0368
5,8           0,0224
5,9           0,0086
6,0           0,0006
6,1           0,0023
6,2           0,0128
6,3           0,0273
6,4           0,0405
6,5           0,0456
6,6           0,0412
6,7           0,0295
6,8           0,0143
6,9           0,0029
7,0           0,0003
7,1           0,0077
7,2           0,0214
7,3           0,0359
7,4           0,0451
7,5           0,0437
7,6           0,0339
7,7           0,0196
7,8           0,0066
7,9           0,0002
8,0           0,0034
8,1           0,0151
8,2           0,0297
8,3           0,0411
8,4           0,0453
8,5           0,0395
8,6           0,0263
8,7           0,0115
8,8           0,0018
8,9           0,0008
9,0           0,0096
9,1           0,0241
9,2           0,0375
9,3           0,0445
9,4           0,0422
9,5           0,0311
9,6           0,0167
9,7           0,0046
9,8           0,0000
9,9           0,0048
10,0          0,0169
10,1          0,0309
10,2          0,0419
10,3          0,0444
10,4          0,0368
10,5          0,0233
10,6          0,0093
10,7          0,0010
10,8          0,0017
10,9          0,0115
11,0          0,0260
11,1          0,0382
11,2          0,0440
11,3          0,0403
11,4          0,0289
11,5          0,0143
11,6          0,0033
11,7          0,0001
11,8          0,0063
11,9          0,0192
12,0          0,0330
12,1          0,0420
12,2          0,0430
12,3          0,0345
12,4          0,0202
12,5          0,0071
12,6          0,0003
12,7          0,0026
12,8          0,0134
12,9          0,0274
13,0          0,0395
13,1          0,0437
13,2          0,0378
13,3          0,0259
13,4          0,0122
13,5          0,0020
13,6          0,0005
13,7          0,0077
13,8          0,0212
13,9          0,0345
14,0          0,0420
14,1          0,0412
14,2          0,0320
14,3          0,0181
14,4          0,0057
14,5          0,0000
14,6          0,0039
14,7          0,0148
14,8          0,0291
14,9          0,0396
15,0          0,0425
15,1          0,0362
15,2          0,0230
15,3          0,0099
15,4          0,0012
15,5          0,0011
15,6          0,0093
15,7          0,0230
15,8          0,0353
15,9          0,0419
16,0          0,0400
16,1          0,0294
16,2          0,0154
16,3          0,0040
16,4          0,0000
16,5          0,0050
16,6          0,0172
16,7          0,0308
16,8          0,0402
16,9          0,0415
17,0          0,0337
17,1          0,0207
17,2          0,0078
17,3          0,0005
17,4          0,0019
17,5          0,0113
17,6          0,0247
17,7          0,0365
17,8          0,0419
17,9          0,0380
18,0          0,0269
18,1          0,0129
18,2          0,0027
18,3          0,0003
18,4          0,0070
18,5          0,0192
18,6          0,0321
18,7          0,0405
18,8          0,0402
18,9          0,0310
19,0          0,0179
19,1          0,0060
19,2          0,0002
19,3          0,0029
19,4          0,0132
19,5          0,0263
19,6          0,0375
19,7          0,0413
19,8          0,0362
19,9          0,0240
20,0          0,0104
20,1          0,0016
20,2          0,0007
20,3          0,0081
20,4          0,0206
20,5          0,0339
20,6          0,0408
20,7          0,0383
20,8          0,0290
20,9          0,0155
21,0          0,0044
21,1          0,0000
21,2          0,0041
21,3          0,0150
21,4          0,0279
21,5          0,0375
21,6          0,0404
21,7          0,0341
21,8          0,0213
21,9          0,0085
22,0          0,0009
22,1          0,0013
22,2          0,0100
