"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.649045829E-2,1.096388749E-1,-1.709386718E-1,-4.987341660E-1,5.384946432E-1
3.648645827E-2,1.037781376E-1,5.966323435E-2,-6.621129727E-1,6.728470792E-1
4.648245836E-2,1.325435150E-1,2.758014679E-2,-5.111606687E-1,5.287850954E-1
5.647745833E-2,2.358771180E-1,-1.004598427E-1,-3.727424562E-1,4.524015179E-1
6.647345831E-2,2.157955136E-1,9.112125456E-2,-1.100492855E-1,2.588080987E-1
7.646945829E-2,2.098991814E-1,-3.654977560E-2,8.518575509E-2,2.294562383E-1
8.646445826E-2,2.960048405E-1,-4.251919806E-2,1.730249584E-1,3.454915108E-1
9.646045836E-2,1.553412972E-1,1.299941289E-1,2.812060493E-1,3.465634637E-1
1.064564583E-1,1.832091270E-1,-5.809618056E-2,2.516436964E-1,3.166469649E-1
1.164524583E-1,8.809546664E-2,3.942835987E-2,1.592208517E-1,1.861899203E-1
1.264474583E-1,-4.176300690E-2,8.829704940E-2,1.161947000E-1,1.517950131E-1
1.364434583E-1,-1.257855955E-1,-4.354187608E-2,1.415026188E-3,1.331161647E-1
1.464394584E-1,-1.898791920E-1,7.456661761E-2,-2.630955596E-2,2.056853927E-1
1.564354583E-1,-2.982883244E-1,3.355892479E-2,-2.600899081E-2,3.012948614E-1
1.664304583E-1,-1.882106160E-1,-7.678446651E-2,-3.357471228E-2,2.060251236E-1
1.764264583E-1,-2.449056575E-1,3.949209452E-2,4.980599821E-2,2.530198491E-1
1.864224583E-1,-1.265406172E-1,-4.618130922E-2,7.363572260E-2,1.535169722E-1
1.964174584E-1,5.665878877E-3,-3.336362779E-2,5.369438748E-2,6.346905616E-2
2.064134583E-1,8.357754238E-2,8.585700631E-2,6.911936064E-2,1.383261260E-1
2.164094583E-1,2.067181499E-1,-1.964664459E-3,1.855147024E-2,2.075582097E-1
2.264054583E-1,2.434269697E-1,4.314368069E-2,-1.456832866E-2,2.476495568E-1
2.364004583E-1,1.881767021E-1,7.436371922E-2,-3.093527913E-2,2.046886061E-1
2.463964584E-1,2.309487192E-1,-6.983680487E-2,-9.142354648E-2,2.580169666E-1
2.563924583E-1,1.231944750E-1,3.042072415E-2,-8.372627179E-2,1.520275886E-1
2.663874583E-1,1.231657505E-1,-2.062897682E-3,-5.905044615E-2,1.366053177E-1
2.763834583E-1,1.145130408E-1,-4.498496890E-2,-3.811390579E-2,1.288004416E-1
2.863794583E-1,5.217463218E-2,5.865575910E-2,3.393723051E-2,8.552441717E-2
2.963754584E-1,6.128517888E-2,-5.208699703E-3,4.837168534E-2,7.824847376E-2
3.063704583E-1,8.356241271E-2,-4.405292273E-3,4.704026520E-2,9.599411424E-2
3.163664583E-1,4.194931380E-2,9.264620841E-2,5.888086776E-2,1.175160476E-1
3.263624583E-1,9.661252096E-2,-9.376010299E-3,3.487920782E-2,1.031428520E-1
3.363574583E-1,4.923509069E-2,3.274908543E-2,2.567453007E-2,6.446532592E-2
3.463534584E-1,1.560497604E-2,3.640417993E-2,6.325692396E-2,7.463389325E-2
3.563494583E-1,8.704676852E-3,-6.323003590E-2,4.189412157E-2,7.634740507E-2
3.663454583E-1,-1.931167223E-2,1.764923573E-2,6.115660409E-2,6.651741449E-2
3.763404583E-1,-3.920696966E-2,9.160248041E-3,5.030183296E-2,6.443113388E-2
3.863364583E-1,2.007261425E-2,-1.864677072E-2,-1.166461051E-2,2.977708917E-2
3.963324584E-1,1.168858409E-2,8.002265453E-2,-1.907712579E-2,8.309142534E-2
4.063274583E-1,5.187233113E-2,3.563877940E-3,-2.760469596E-2,5.886815099E-2
