"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.024349958E0,-1.997231989E-1,9.088795066E-2,6.811772346E-2,2.297607451E-1
5.124306958E0,1.225266681E-1,9.934536338E-2,-4.795418501E-2,1.648693103E-1
5.224263958E0,4.020419037E-1,7.479582846E-2,1.119940511E-1,4.239985563E-1
5.324220958E0,6.469383518E-1,4.494169950E-2,5.975619595E-2,6.512448006E-1
5.424177958E0,7.932787375E-1,4.604623854E-2,1.124419570E-1,8.025301273E-1
5.524134958E0,8.341633464E-1,3.550780177E-2,1.108608516E-1,8.422466509E-1
5.624092958E0,7.236726053E-1,4.895698249E-2,7.803810954E-2,7.295126951E-1
5.724049750E0,5.166886264E-1,8.393561125E-2,1.045224881E-1,5.337951611E-1
5.824006750E0,2.480305557E-1,9.337360203E-2,-2.203464746E-2,2.659385489E-1
5.923963750E0,-9.172321628E-2,7.658566117E-2,6.984849930E-2,1.384099879E-1
6.023920750E0,-3.712864995E-1,4.400146723E-2,-1.217951632E-1,3.932223997E-1
6.123877750E0,-6.222052874E-1,4.665084064E-2,3.400974055E-2,6.248778945E-1
6.223834750E0,-7.285214820E-1,-2.969508469E-2,-1.905935025E-1,7.536253917E-1
6.323791750E0,-7.767518748E-1,-2.822743356E-2,5.688229859E-2,7.793432228E-1
6.423749750E0,-6.462890916E-1,-1.935720742E-2,-2.005454636E-1,6.769658590E-1
6.523706750E0,-4.653517906E-1,3.283737838E-2,9.506052375E-2,4.760956685E-1
6.623663750E0,-1.693552458E-1,5.293425858E-2,-1.485707331E-1,2.314227684E-1
6.723620583E0,1.100302364E-1,1.096025491E-1,1.663404214E-1,2.275708845E-1
6.823577583E0,4.309675679E-1,9.097916722E-2,-8.857479215E-2,4.492835933E-1
6.923534583E0,6.369901914E-1,8.550383449E-2,2.247798336E-1,6.808769222E-1
7.023491583E0,8.109249035E-1,2.220363200E-2,-3.325660547E-2,8.119102180E-1
7.123448583E0,7.987021031E-1,4.698237777E-2,2.348312155E-1,8.338333725E-1
7.223405583E0,7.397423619E-1,2.092192233E-2,-2.037052989E-2,7.403184770E-1
7.323363583E0,4.993210072E-1,6.701435387E-2,1.799644339E-1,5.349762512E-1
7.423320583E0,2.421970810E-1,8.104942560E-2,-4.856697321E-2,2.599753571E-1
7.523277583E0,-9.183958501E-2,8.931621909E-2,6.711551070E-2,1.446249914E-1
7.623234583E0,-3.778064739E-1,5.558889449E-2,-1.057732075E-1,3.962522282E-1
7.723192000E0,-6.088913966E-1,2.282343686E-2,-1.923206787E-2,6.096224361E-1
7.823149000E0,-7.521712035E-1,-4.470781088E-3,-1.241381425E-1,7.623593547E-1
7.923106000E0,-7.551054094E-1,-3.154163539E-2,-6.034267168E-2,7.581690393E-1
8.023063000E0,-6.405515112E-1,-2.552368104E-2,-5.921299875E-2,6.437886889E-1
8.123020000E0,-4.490290688E-1,2.323625028E-2,-5.355348329E-2,4.528079102E-1
8.222977000E0,-1.754098915E-1,6.186354160E-2,8.901799967E-3,1.862121635E-1
8.322935000E0,1.433068137E-1,6.405273914E-2,-3.887226682E-3,1.570181734E-1
8.422892000E0,4.238335993E-1,1.020567173E-1,1.017345357E-1,4.476610428E-1
8.522849000E0,6.607164384E-1,6.978359520E-2,3.233519392E-3,6.643992909E-1
8.622806000E0,7.861605565E-1,5.630459368E-2,1.755966004E-1,8.074978600E-1
8.722762958E0,8.358004206E-1,3.293151855E-2,8.119443655E-3,8.364883463E-1
8.822719958E0,6.911543387E-1,6.233307302E-2,1.862852740E-1,7.185276162E-1
8.922676958E0,5.139052787E-1,5.444050133E-2,-4.154562752E-2,5.184481100E-1
9.022633958E0,2.101174652E-1,7.810184419E-2,1.607095528E-1,2.758202451E-1
9.122590958E0,-7.397222986E-2,6.797212780E-2,-1.177529830E-1,1.547832870E-1
9.222547958E0,-4.009491321E-1,6.697049975E-2,8.306788445E-2,4.149042394E-1
9.322504958E0,-6.076723618E-1,1.120969713E-2,-1.805327833E-1,6.340216419E-1
9.422461958E0,-7.486201894E-1,5.163091421E-3,3.515930772E-2,7.494631562E-1
9.522419958E0,-7.316711578E-1,-1.627572477E-2,-2.041005707E-1,7.597793267E-1
9.622376958E0,-6.475558908E-1,-2.891448140E-3,4.072234869E-2,6.488415075E-1
9.722333708E0,-4.165876200E-1,6.055961251E-3,-1.469966626E-1,4.418030542E-1
9.822290708E0,-1.626306555E-1,7.530336678E-2,8.250362813E-2,1.972971764E-1
