100-440 in 20 er schritten,,
165-205 in 5 erschritten,,
Frequenz in Hz,Spannung U in V,Zeitverschiebung zwischen Maxima in ms
100,0.009684,2.2
120,0.014277,1.8
140,0.021844,1.6
165,0.050598,1.2
170,0.065955,1.05
175,0.091144,0.9
180,0.13944,0.58
185,0.19482,0
190,0.16415,-0.5
195,0.11491,-0.9
200,0.081184,-0.9
205,0.063755,-1
220,0.038212,-1.1
240,0.025095,-1.1
260,0.018945,-1.1
280,0.015292,-1.1
300,0.012931,-1.1
320,0.01126,-1.1
340,0.010064,-1.1
360,0.009054,-1.1
380,0.008265,-1.1
400,0.007622,-1.1
