Zeit;Kanal B;Invertieren A
(ms);(V);(mV)

-50,06224662;0,47697380;-9,27762600
-50,02128662;0,47697380;-0,22888880
-49,98032662;0,47697380;4,30311000
-49,93936662;0,47697380;17,88385000
-49,89840662;0,48597680;17,88385000
-49,85744662;0,49494920;22,41584000
-49,81648662;0,49494920;31,46458000
-49,77552662;0,50395210;35,99658000
-49,73456662;0,50395210;35,99658000
-49,69360662;0,50395210;40,51332000
-49,65264662;0,51295510;45,04532000
-49,61168662;0,51295510;54,09406000
-49,57072662;0,52195810;58,62605000
-49,52976662;0,52195810;67,67479000
-49,48880662;0,53096100;72,20679000
-49,44784662;0,53996400;76,73878000
-49,40688662;0,53996400;81,25553000
-49,36592662;0,54896690;85,78752000
-49,32496663;0,54896690;90,31953000
-49,28400663;0,55796990;99,36826000
-49,24304663;0,56697290;99,36826000
-49,20208663;0,57597580;108,41700000
-49,16112663;0,57597580;117,48100000
-49,12016663;0,58497880;117,48100000
-49,07920663;0,58497880;126,52970000
-49,03824663;0,59395120;135,57850000
-48,99728663;0,59395120;135,57850000
-48,95632663;0,60295420;140,11050000
-48,91536663;0,60295420;149,15920000
-48,87440663;0,59395120;153,69120000
-48,83344663;0,59395120;153,69120000
-48,79248663;0,58497880;162,73990000
-48,75152663;0,58497880;167,27190000
-48,71056663;0,58497880;180,85270000
-48,66960663;0,58497880;180,85270000
-48,62864663;0,58497880;180,85270000
-48,58768663;0,58497880;180,85270000
-48,54672663;0,58497880;189,90140000
-48,50576663;0,58497880;198,95010000
-48,46480663;0,58497880;203,48210000
-48,42384663;0,59395120;203,48210000
-48,38288663;0,60295420;212,53090000
-48,34192663;0,61195710;217,06290000
-48,30096663;0,61195710;217,06290000
-48,26000663;0,62096010;226,11160000
-48,21904663;0,62096010;226,11160000
-48,17808663;0,62096010;230,64360000
-48,13712663;0,62096010;239,69240000
-48,09616663;0,62996310;244,22430000
-48,05520663;0,62996310;248,75630000
-48,01424663;0,62996310;253,27310000
-47,97328663;0,63896600;253,27310000
-47,93232663;0,63896600;262,33710000
-47,89136663;0,63896600;262,33710000
-47,85040663;0,62996310;266,85380000
-47,80944663;0,62996310;275,90260000
-47,76848663;0,62096010;280,43460000
-47,72752663;0,62096010;284,96660000
-47,68656664;0,62096010;289,48330000
-47,64560664;0,62096010;294,01530000
-47,60464664;0,62096010;303,06400000
-47,56368664;0,61195710;298,54730000
-47,52272664;0,61195710;303,06400000
-47,48176664;0,62096010;307,59600000
-47,44080664;0,61195710;316,64480000
-47,39984664;0,61195710;316,64480000
-47,35888664;0,61195710;321,17680000
-47,31792664;0,62096010;325,70880000
-47,27696664;0,61195710;325,70880000
-47,23600664;0,61195710;325,70880000
-47,19504664;0,62096010;334,75750000
-47,15408664;0,62096010;334,75750000
-47,11312664;0,62096010;343,80620000
-47,07216664;0,61195710;343,80620000
-47,03120664;0,62096010;348,33830000
-46,99024664;0,62096010;352,87020000
-46,94928664;0,61195710;352,87020000
-46,90832664;0,61195710;352,87020000
-46,86736664;0,62096010;361,91900000
-46,82640664;0,62096010;366,45100000
-46,78544664;0,62096010;370,96770000
-46,74448664;0,62096010;380,03170000
-46,70352664;0,62096010;370,96770000
-46,66256664;0,62096010;375,49970000
-46,62160664;0,62096010;380,03170000
-46,58064664;0,62096010;384,54850000
-46,53968664;0,61195710;384,54850000
-46,49872664;0,61195710;389,08040000
-46,45776664;0,61195710;389,08040000
-46,41680664;0,60295420;393,61250000
-46,37584664;0,60295420;398,12920000
-46,33488664;0,59395120;398,12920000
-46,29392664;0,58497880;402,66120000
-46,25296664;0,57597580;402,66120000
-46,21200664;0,58497880;407,19320000
-46,17104664;0,57597580;407,19320000
-46,13008664;0,57597580;411,70990000
-46,08912664;0,55796990;411,70990000
-46,04816665;0,55796990;416,24190000
-46,00720665;0,55796990;420,75870000
-45,96624665;0,54896690;420,75870000
-45,92528665;0,54896690;420,75870000
-45,88432665;0,54896690;425,29060000
-45,84336665;0,53996400;425,29060000
-45,80240665;0,53996400;425,29060000
-45,76144665;0,53996400;425,29060000
-45,72048665;0,53996400;425,29060000
-45,67952665;0,53996400;425,29060000
-45,63856665;0,51295510;434,33940000
-45,59760665;0,51295510;434,33940000
-45,55664665;0,51295510;434,33940000
-45,51568665;0,50395210;434,33940000
-45,47472665;0,51295510;434,33940000
-45,43376665;0,50395210;438,87140000
-45,39280665;0,49494920;438,87140000
-45,35184665;0,49494920;438,87140000
-45,31088665;0,50395210;443,40340000
-45,26992665;0,49494920;443,40340000
-45,22896665;0,47697380;443,40340000
-45,18800665;0,47697380;443,40340000
-45,14704665;0,47697380;443,40340000
-45,10608665;0,47697380;443,40340000
-45,06512665;0,47697380;443,40340000
-45,02416665;0,46797080;447,92010000
-44,98320665;0,47697380;443,40340000
-44,94224665;0,46797080;447,92010000
-44,90128665;0,44096200;443,40340000
-44,86032665;0,44996490;443,40340000
-44,81936665;0,44096200;452,45210000
-44,77840665;0,44996490;452,45210000
-44,73744665;0,44096200;452,45210000
-44,69648665;0,43195900;452,45210000
-44,65552665;0,41395310;452,45210000
-44,61456665;0,41395310;447,92010000
-44,57360665;0,39594710;438,87140000
-44,53264665;0,39594710;447,92010000
-44,49168665;0,36896880;443,40340000
-44,45072665;0,36896880;443,40340000
-44,40976666;0,35096280;443,40340000
-44,36880666;0,33295690;443,40340000
-44,32784666;0,32395400;447,92010000
-44,28688666;0,30594800;443,40340000
-44,24592666;0,29697560;443,40340000
-44,20496666;0,28797270;438,87140000
-44,16400666;0,27896970;443,40340000
-44,12304666;0,26996670;434,33940000
-44,08208666;0,26096380;434,33940000
-44,04112666;0,23395490;438,87140000
-44,00016666;0,23395490;425,29060000
-43,95920666;0,22495190;425,29060000
-43,91824666;0,22495190;425,29060000
-43,87728666;0,19797360;425,29060000
-43,83632666;0,19797360;420,75870000
-43,79536666;0,18897060;416,24190000
-43,75440666;0,18897060;416,24190000
-43,71344666;0,17996770;411,70990000
-43,67248666;0,17096470;416,24190000
-43,63152666;0,16196170;407,19320000
-43,59056666;0,15295880;407,19320000
-43,54960666;0,15295880;407,19320000
-43,50864666;0,13495280;402,66120000
-43,46768666;0,13495280;398,12920000
-43,42672666;0,12594990;393,61250000
-43,38576666;0,12594990;389,08040000
-43,34480666;0,13495280;389,08040000
-43,30384666;0,11694690;389,08040000
-43,26288666;0,11694690;384,54850000
-43,22192666;0,10794400;384,54850000
-43,18096666;0,08996856;375,49970000
-43,14000666;0,09897152;375,49970000
-43,09904666;0,08996856;380,03170000
-43,05808666;0,08996856;370,96770000
-43,01712666;0,08096561;370,96770000
-42,97616666;0,07196265;366,45100000
-42,93520666;0,06295969;361,91900000
-42,89424666;0,04495376;357,38700000
-42,85328666;0,04495376;352,87020000
-42,81232666;0,04495376;352,87020000
-42,77136666;0,02694784;348,33830000
-42,73040667;0,00897244;343,80620000
-42,68944667;0,00000000;343,80620000
-42,64848667;0,00000000;334,75750000
-42,60752667;-0,00900296;334,75750000
-42,56656667;-0,01800592;325,70880000
-42,52560667;-0,03601184;325,70880000
-42,48464667;-0,03601184;321,17680000
-42,44368667;-0,06302072;316,64480000
-42,40272667;-0,06302072;316,64480000
-42,36176667;-0,07202368;312,12810000
-42,32080667;-0,08102664;307,59600000
-42,27984667;-0,08999909;298,54730000
-42,23888667;-0,09900205;298,54730000
-42,19792667;-0,09900205;294,01530000
-42,15696667;-0,10800500;284,96660000
-42,11600667;-0,10800500;280,43460000
-42,07504667;-0,11700800;280,43460000
-42,03408667;-0,12601090;271,38580000
-41,99312667;-0,12601090;271,38580000
-41,95216667;-0,13501390;262,33710000
