Frequenz;Kanal A;Kanal B
(ms);(V);(V)

-50,06896704;0,04531999;0,35096280
-50,02800704;0,00015259;0,35096280
-49,98704704;-0,09018219;0,35096280
-49,94608705;-0,09018219;0,33295690
-49,90512705;-0,18051700;0,33295690
-49,86416705;-0,22568440;0,33295690
-49,82320705;-0,27085180;0,32395400
-49,78224705;-0,27085180;0,32395400
-49,74128705;-0,36118660;0,31495100
-49,70032705;-0,36118660;0,31495100
-49,65936705;-0,45152130;0,30594800
-49,61840705;-0,45152130;0,29697560
-49,57744705;-0,54185610;0,29697560
-49,53648705;-0,54185610;0,28797270
-49,49552705;-0,58702360;0,28797270
-49,45456705;-0,63219090;0,27896970
-49,41360705;-0,63219090;0,26996670
-49,37264705;-0,72252570;0,26096380
-49,33168705;-0,72252570;0,26096380
-49,29072705;-0,76769310;0,25196080
-49,24976705;-0,81286050;0,25196080
-49,20880705;-0,81286050;0,24295790
-49,16784705;-0,85802790;0,23395490
-49,12688705;-0,90319530;0,22495190
-49,08592705;-0,90319530;0,22495190
-49,04496705;-0,94836270;0,21594900
-49,00400705;-0,99353010;0,21594900
-48,96304705;-0,99353010;0,20694600
-48,92208705;-1,03869700;0,19797360
-48,88112705;-1,08386500;0,19797360
-48,84016705;-1,08386500;0,18897060
-48,79920705;-1,08386500;0,18897060
-48,75824705;-1,17420000;0,17996770
-48,71728705;-1,17420000;0,17096470
-48,67632705;-1,17420000;0,15295880
-48,63536705;-1,17420000;0,15295880
-48,59440705;-1,26438200;0,15295880
-48,55344705;-1,26438200;0,14395580
-48,51248705;-1,30954900;0,13495280
-48,47152705;-1,30954900;0,13495280
-48,43056705;-1,30954900;0,12594990
-48,38960705;-1,35471700;0,11694690
-48,34864705;-1,35471700;0,10794400
-48,30768706;-1,39988400;0,10794400
-48,26672706;-1,44505100;0,10794400
-48,22576706;-1,44505100;0,09897152
-48,18480706;-1,49021900;0,08996856
-48,14384706;-1,49021900;0,08096561
-48,10288706;-1,53538600;0,07196265
-48,06192706;-1,53538600;0,07196265
-48,02096706;-1,53538600;0,05395672
-47,98000706;-1,58055400;0,04495376
-47,93904706;-1,58055400;0,04495376
-47,89808706;-1,62572100;0,04495376
-47,85712706;-1,62572100;0,03595080
-47,81616706;-1,67088800;0,02694784
-47,77520706;-1,67088800;0,01794488
-47,73424706;-1,71605600;0,00897244
-47,69328706;-1,71605600;0,00897244
-47,65232706;-1,71605600;0,00000000
-47,61136706;-1,71605600;-0,00900296
-47,57040706;-1,76122300;-0,01800592
-47,52944706;-1,80639100;-0,02700888
-47,48848706;-1,80639100;-0,02700888
-47,44752706;-1,80639100;-0,03601184
-47,40656706;-1,85155800;-0,04501480
-47,36560706;-1,85155800;-0,04501480
-47,32464706;-1,89672500;-0,06302072
-47,28368706;-1,89672500;-0,06302072
-47,24272706;-1,89672500;-0,07202368
-47,20176706;-1,94189300;-0,08102664
-47,16080706;-1,98706000;-0,08102664
-47,11984706;-1,98706000;-0,09900205
-47,07888706;-1,98706000;-0,09900205
-47,03792706;-2,03222800;-0,10800500
-46,99696706;-2,03222800;-0,11700800
-46,95600706;-2,07739500;-0,11700800
-46,91504706;-2,07739500;-0,13501390
-46,87408706;-2,07739500;-0,13501390
-46,83312706;-2,07739500;-0,13501390
-46,79216706;-2,16773000;-0,14401680
-46,75120706;-2,16773000;-0,15301980
-46,71024706;-2,16773000;-0,16202280
-46,66928707;-2,21289700;-0,16202280
-46,62832707;-2,21289700;-0,17102570
-46,58736707;-2,25806500;-0,17102570
-46,54640707;-2,25806500;-0,18900110
-46,50544707;-2,25806500;-0,19800410
-46,46448707;-2,30323200;-0,19800410
-46,42352707;-2,34839900;-0,20700710
-46,38256707;-2,34839900;-0,20700710
-46,34160707;-2,39356700;-0,22501300
-46,30064707;-2,39356700;-0,22501300
-46,25968707;-2,43873400;-0,23401590
-46,21872707;-2,43873400;-0,24301890
-46,17776707;-2,43873400;-0,24301890
-46,13680707;-2,52906900;-0,25202180
-46,09584707;-2,52906900;-0,25202180
-46,05488707;-2,52906900;-0,26102480
-46,01392707;-2,52906900;-0,27002780
-45,97296707;-2,57423600;-0,27903070
-45,93200707;-2,61940400;-0,27903070
-45,89104707;-2,61940400;-0,28800320
-45,85008707;-2,61940400;-0,29700610
-45,80912707;-2,66441800;-0,29700610
-45,76816707;-2,70958600;-0,30600910
-45,72720707;-2,70958600;-0,31501210
-45,68624707;-2,75475300;-0,31501210
-45,64528707;-2,75475300;-0,32401500
-45,60432707;-2,79992100;-0,32401500
-45,56336707;-2,79992100;-0,32401500
