Zeit;Kanal B;Invertieren A
(ms);(V);(V)

-51,39376596;2,97463900;-0,09048738
-50,08304596;4,68306500;1,62572100
-48,77232597;5,67217000;3,07092500
-47,46160598;6,03198300;3,97427300
-46,15088599;5,49241600;4,38062700
-44,84016600;4,05377300;3,88393800
-43,52944600;1,53599700;2,89025500
-42,21872601;-0,89175090;1,21921400
-40,90800602;-3,76903600;-0,54185610
-39,59728603;-5,29770800;-2,16773000
-38,28656604;-6,28681300;-3,43226400
-36,97584604;-6,10705900;-4,20011000
-35,66512605;-5,11795400;-4,29044500
-34,35440606;-2,86996100;-3,61293400
-33,04368607;-0,71169160;-2,30323200
-31,73296608;2,25531800;-0,54185610
-30,42224608;4,23352800;1,17420000
-29,11152609;5,49241600;2,70958600
-27,80080610;6,03198300;3,79360300
-26,49008611;5,76220000;4,33545900
-25,17936612;4,68306500;4,06460800
-23,86864612;1,89550500;3,16126000
-22,55792613;-0,26215400;1,67088800
-21,24720614;-3,13974400;-0,09048738
-19,93648615;-4,84817000;-1,76122300
-18,62576616;-5,92700000;-3,16141200
-17,31504616;-6,10705900;-4,06460800
-16,00432617;-5,38773800;-4,33561200
-14,69360618;-3,67900600;-3,79360300
-13,38288619;-1,34128800;-2,70973800
-12,07216620;1,17618300;-1,03869700
-10,76144620;3,87371400;0,72252570
-9,45072621;5,49241600;2,34839900
-8,14000622;6,12170800;3,56776600
-6,82928623;6,03198300;4,24512500
-5,51856623;4,95284900;4,24512500
-4,20784624;2,61482600;3,52259900
-2,89712625;0,36683250;2,12256200
-1,58640626;-2,68990100;0,36118660
-0,27568627;-4,48835700;-1,35486900
1,03503373;-5,65752100;-2,80007300
2,34575372;-6,01702900;-3,88393800
3,65647371;-5,65752100;-4,33561200
4,96719370;-4,57838700;-4,01944000
6,27791369;-1,79082600;-3,02591000
7,58863369;0,36683250;-1,49037100
8,89935368;3,33445200;0,27085180
10,21007367;4,95284900;1,89672500
11,52079366;5,94195400;3,25159500
12,83151365;6,12170800;4,10962200
14,14223365;5,31266200;4,38062700
15,45295364;3,33445200;3,70326900
16,76367363;1,08645900;2,57423600
18,07439362;-1,70079600;0,85802790
19,38511361;-4,12884900;-0,90319530
20,69583361;-5,65752100;-2,48390200
22,00655360;-6,10705900;-3,65810100
23,31727359;-6,01702900;-4,24527700
24,62799358;-4,93789500;-4,15494300
25,93871357;-2,42011800;-3,34192900
27,24943357;-0,08239998;-1,94189300
28,56015356;2,88460900;-0,18082220
29,87087355;4,59334100;1,53538600
31,18159354;5,58244600;2,98059000
32,49231353;6,03198300;3,97427300
33,80303353;5,49241600;4,38062700
35,11375352;4,23352800;3,97427300
36,42447351;1,53599700;2,93542300
37,73519350;-0,62196720;1,30954900
39,04591349;-3,67900600;-0,45152130
40,35663349;-5,20767800;-2,07739500
41,66735348;-6,19678400;-3,38709700
42,97807347;-6,10705900;-4,15494300
44,28879346;-5,20767800;-4,33561200
45,59951345;-3,04971500;-3,61293400
46,91023345;-0,89175090;-2,39356700
48,22095344;2,07556400;-0,63219090
49,53167343;4,14349800;1,08386500
