Zeit;Kanal B;Invertieren A
(ms);(V);(V)

-51,30731314;3,06466900;-1,71620800
-49,99659315;4,77309500;0,04501480
-48,68587316;5,76220000;1,71605600
-47,37515317;6,03198300;3,16126000
-46,06443318;5,40238700;4,06460800
-44,75371318;3,78399000;4,38062700
-43,44299319;1,44596700;3,88393800
-42,13227320;-1,16122900;2,79992100
-40,82155321;-3,85906600;1,08386500
-39,51083322;-5,47746200;-0,67735830
-38,20011322;-6,19678400;-2,30323200
-36,88939323;-6,01702900;-3,52259900
-35,57867324;-5,11795400;-4,24527700
-34,26795325;-2,77993100;-4,24527700
-32,95723326;-0,44190800;-3,52259900
-31,64651326;2,61482600;-2,16773000
-30,33579327;4,41328100;-0,45152130
-29,02507328;5,49241600;1,30954900
-27,71435329;6,03198300;2,79992100
-26,40363330;5,67217000;3,88393800
-25,09291330;4,59334100;4,33545900
-23,78219331;1,89550500;4,06460800
-22,47147332;-0,35218360;3,11609200
-21,16075333;-3,31949800;1,58055400
-19,85003334;-4,93789500;-0,18082220
-18,53931334;-5,92700000;-1,89672500
-17,22859335;-6,10705900;-3,25159500
-15,91787336;-5,29770800;-4,10977500
-14,60715337;-3,49925200;-4,33561200
-13,29643338;-1,16122900;-3,74843600
-11,98571338;1,53599700;-2,61940400
-10,67499339;3,96374400;-0,90319530
-9,36427340;5,49241600;0,85802790
-8,05355341;6,12170800;2,43873400
-6,74283342;5,94195400;3,61293400
-5,43211342;4,95284900;4,24512500
-4,12139343;2,43507200;4,19995700
-2,81067344;0,09735405;3,43226400
-1,49995345;-2,86996100;2,03222800
-0,18923345;-4,57838700;0,27085180
1,12148654;-5,65752100;-1,49037100
2,43220653;-6,01702900;-2,93557500
3,74292652;-5,65752100;-3,92910600
5,05364651;-4,39863300;-4,33561200
6,36436651;-1,70079600;-3,97427300
7,67508650;0,45686210;-2,98074300
8,98580649;3,42417700;-1,35486900
10,29652648;5,13260300;0,40635400
11,60724647;6,12170800;2,03222800
12,91796647;6,03198300;3,34192900
14,22868646;5,22263200;4,15479000
15,53940645;3,15439300;4,33545900
16,85012644;0,81667530;3,70326900
18,16084643;-2,06061000;2,43873400
19,47156643;-4,21857400;0,72252570
20,78228642;-5,65752100;-1,03869700
22,09300641;-6,10705900;-2,57423600
23,40372640;-5,92700000;-3,74843600
24,71444639;-4,93789500;-4,33561200
26,02516639;-2,24036400;-4,15494300
27,33588638;0,09735405;-3,25159500
28,64660637;2,97463900;-1,85155800
29,95732636;4,59334100;-0,09048738
31,26804635;5,67217000;1,62572100
32,57876635;6,03198300;3,07092500
33,88948634;5,49241600;4,01944000
35,20020633;4,05377300;4,38062700
36,51092632;1,53599700;3,88393800
37,82164631;-0,98147520;2,84508800
39,13236631;-3,76903600;1,21921400
40,44308630;-5,29770800;-0,58702360
41,75380629;-6,19678400;-2,16773000
43,06452628;-6,10705900;-3,43226400
44,37524627;-5,20767800;-4,15494300
45,68596627;-2,86996100;-4,24527700
46,99668626;-0,71169160;-3,56776600
48,30740625;2,25531800;-2,25806500
49,61812624;4,32355700;-0,54185610
50,92884623;5,58244600;1,21921400
