Zeit;Kanal B;Invertieren A
(ms);(V);(mV)

-50,08232221;6,93105900;-0,22888880
-50,04136221;7,02108800;8,83510900
-50,00040221;7,11081300;8,83510900
-49,95944221;7,20084200;8,83510900
-49,91848221;7,29087200;17,88385000
-49,87752221;7,29087200;22,41584000
-49,83656221;7,29087200;26,93258000
-49,79560221;7,38059600;26,93258000
-49,75464221;7,47062600;35,99658000
-49,71368221;7,47062600;40,51332000
-49,67272221;7,56065600;45,04532000
-49,63176221;7,65038000;49,57732000
-49,59080221;7,65038000;54,09406000
-49,54984221;7,65038000;58,62605000
-49,50888221;7,74040900;58,62605000
-49,46792221;7,83043900;63,15805000
-49,42696221;7,92016400;67,67479000
-49,38600221;8,01019300;72,20679000
-49,34504221;8,01019300;76,73878000
-49,30408221;8,10022300;81,25553000
-49,26312222;8,18994700;81,25553000
-49,22216222;8,27997700;81,25553000
-49,18120222;8,27997700;94,83626000
-49,14024222;8,36970100;99,36826000
-49,09928222;8,36970100;99,36826000
-49,05832222;8,45973100;103,90030000
-49,01736222;8,54976100;103,90030000
-48,97640222;8,54976100;108,41700000
-48,93544222;8,63948400;112,94900000
-48,89448222;8,63948400;117,48100000
-48,85352222;8,72951400;117,48100000
-48,81256222;8,72951400;121,99770000
-48,77160222;8,72951400;131,04650000
-48,73064222;8,81954400;131,04650000
-48,68968222;8,90926800;135,57850000
-48,64872222;8,90926800;135,57850000
-48,60776222;8,90926800;135,57850000
-48,56680222;8,99929800;140,11050000
-48,52584222;8,99929800;144,62720000
-48,48488222;8,99929800;153,69120000
-48,44392222;8,99929800;153,69120000
-48,40296222;8,99929800;153,69120000
-48,36200222;8,99929800;158,20790000
-48,32104222;8,99929800;167,27190000
-48,28008222;9,08932800;167,27190000
-48,23912222;9,08932800;162,73990000
-48,19816222;9,08932800;171,78870000
-48,15720222;9,08932800;171,78870000
-48,11624222;9,08932800;176,32070000
-48,07528222;9,08932800;180,85270000
-48,03432222;9,08932800;180,85270000
-47,99336222;9,08932800;180,85270000
-47,95240222;9,08932800;185,36940000
-47,91144222;9,08932800;185,36940000
-47,87048222;9,08932800;185,36940000
-47,82952222;9,17905200;189,90140000
-47,78856222;9,08932800;194,43340000
-47,74760222;9,17905200;194,43340000
-47,70664222;9,17905200;198,95010000
-47,66568222;9,17905200;194,43340000
-47,62472223;9,17905200;203,48210000
-47,58376223;9,17905200;208,01410000
-47,54280223;9,17905200;198,95010000
-47,50184223;9,17905200;208,01410000
-47,46088223;9,17905200;212,53090000
-47,41992223;9,17905200;212,53090000
-47,37896223;9,17905200;217,06290000
-47,33800223;9,17905200;217,06290000
-47,29704223;9,17905200;217,06290000
-47,25608223;9,08932800;221,59490000
-47,21512223;9,17905200;235,17560000
-47,17416223;9,08932800;226,11160000
-47,13320223;9,08932800;226,11160000
-47,09224223;9,08932800;226,11160000
-47,05128223;9,08932800;226,11160000
-47,01032223;9,08932800;235,17560000
-46,96936223;9,08932800;239,69240000
-46,92840223;9,08932800;239,69240000
-46,88744223;9,08932800;244,22430000
-46,84648223;8,99929800;239,69240000
-46,80552223;8,99929800;239,69240000
-46,76456223;8,90926800;244,22430000
-46,72360223;8,90926800;244,22430000
-46,68264223;8,81954400;253,27310000
-46,64168223;8,72951400;248,75630000
-46,60072223;8,72951400;248,75630000
-46,55976223;8,63948400;253,27310000
-46,51880223;8,54976100;253,27310000
-46,47784223;8,45973100;253,27310000
-46,43688223;8,36970100;253,27310000
-46,39592223;8,27997700;253,27310000
-46,35496223;8,18994700;262,33710000
-46,31400223;8,10022300;262,33710000
-46,27304223;8,01019300;262,33710000
-46,23208223;7,92016400;262,33710000
-46,19112223;7,92016400;262,33710000
-46,15016223;7,83043900;262,33710000
-46,10920223;7,74040900;275,90260000
-46,06824223;7,65038000;262,33710000
-46,02728223;7,65038000;271,38580000
-45,98632223;7,56065600;271,38580000
-45,94536224;7,47062600;266,85380000
-45,90440224;7,38059600;271,38580000
-45,86344224;7,29087200;271,38580000
-45,82248224;7,29087200;275,90260000
-45,78152224;7,20084200;275,90260000
-45,74056224;7,20084200;275,90260000
-45,69960224;7,11081300;275,90260000
-45,65864224;7,02108800;280,43460000
-45,61768224;6,93105900;280,43460000
-45,57672224;6,84133400;280,43460000
-45,53576224;6,84133400;280,43460000
-45,49480224;6,75130500;280,43460000
-45,45384224;6,66127500;284,96660000
-45,41288224;6,57155100;284,96660000
-45,37192224;6,57155100;284,96660000
-45,33096224;6,48152100;289,48330000
-45,29000224;6,39149100;289,48330000
-45,24904224;6,30176700;289,48330000
-45,20808224;6,21173800;289,48330000
-45,16712224;6,21173800;294,01530000
-45,12616224;6,12170800;289,48330000
-45,08520224;6,03198300;289,48330000
-45,04424224;5,85223000;294,01530000
-45,00328224;5,85223000;294,01530000
-44,96232224;5,76220000;294,01530000
-44,92136224;5,67217000;294,01530000
-44,88040224;5,49241600;298,54730000
-44,83944224;5,49241600;298,54730000
-44,79848224;5,40238700;298,54730000
-44,75752224;5,22263200;298,54730000
-44,71656224;5,13260300;298,54730000
-44,67560224;5,04287900;298,54730000
-44,63464224;4,86281900;298,54730000
-44,59368224;4,77309500;298,54730000
-44,55272224;4,68306500;298,54730000
-44,51176224;4,59334100;298,54730000
-44,47080224;4,41328100;298,54730000
-44,42984224;4,41328100;298,54730000
-44,38888224;4,32355700;303,06400000
-44,34792224;4,23352800;307,59600000
-44,30696225;4,14349800;307,59600000
-44,26600225;4,05377300;307,59600000
-44,22504225;4,05377300;307,59600000
-44,18408225;3,96374400;307,59600000
-44,14312225;3,87371400;307,59600000
-44,10216225;3,69396000;312,12810000
-44,06120225;3,69396000;307,59600000
-44,02024225;3,42417700;312,12810000
-43,97928225;3,33445200;307,59600000
-43,93832225;3,15439300;316,64480000
-43,89736225;3,06466900;303,06400000
-43,85640225;2,88460900;307,59600000
-43,81544225;2,79488500;307,59600000
-43,77448225;2,61482600;298,54730000
-43,73352225;2,43507200;307,59600000
-43,69256225;2,34534700;307,59600000
-43,65160225;2,16528800;307,59600000
-43,61064225;1,98553400;307,59600000
-43,56968225;1,80578000;307,59600000
-43,52872225;1,62572100;307,59600000
-43,48776225;1,53599700;303,06400000
-43,44680225;1,44596700;303,06400000
-43,40584225;1,26621300;307,59600000
-43,36488225;1,17618300;303,06400000
-43,32392225;0,99642930;298,54730000
-43,28296225;0,81667530;298,54730000
-43,24200225;0,81667530;298,54730000
-43,20104225;0,63661610;298,54730000
-43,16008225;0,45686210;294,01530000
-43,11912225;0,45686210;298,54730000
-43,07816225;0,36683250;298,54730000
-43,03720225;0,27710810;294,01530000
-42,99624225;0,09735405;289,48330000
-42,95528225;0,00762963;289,48330000
-42,91432225;-0,08239998;289,48330000
-42,87336225;-0,26215400;284,96660000
-42,83240225;-0,26215400;280,43460000
-42,79144225;-0,35218360;280,43460000
-42,75048225;-0,62196720;280,43460000
-42,70952225;-0,62196720;280,43460000
-42,66856226;-0,80172120;275,90260000
-42,62760226;-0,98147520;271,38580000
-42,58664226;-0,98147520;271,38580000
-42,54568226;-1,16122900;262,33710000
-42,50472226;-1,25125900;262,33710000
-42,46376226;-1,34128800;262,33710000
-42,42280226;-1,43101300;253,27310000
-42,38184226;-1,61107200;253,27310000
-42,34088226;-1,70079600;248,75630000
-42,29992226;-1,79082600;244,22430000
-42,25896226;-1,97058000;239,69240000
-42,21800226;-2,06061000;235,17560000
-42,17704226;-2,15063900;235,17560000
-42,13608226;-2,24036400;230,64360000
-42,09512226;-2,42011800;226,11160000
-42,05416226;-2,42011800;221,59490000
-42,01320226;-2,51014700;217,06290000
-41,97224226;-2,68990100;217,06290000
