Frequenz;Kanal A;Kanal B
(ms);(mV);(mV)

-50,06010085;3,69274000;8,91598200
-50,01914085;1,88604400;9,82696000
-49,97818085;-3,55235400;10,73641000
-49,93722085;-3,55235400;11,19114000
-49,89626085;-3,55235400;6,18610100
-49,85530085;-8,98464900;7,55027900
-49,81434085;-8,98464900;9,82696000
-49,77338086;-10,79745000;8,00653200
-49,73242086;-10,79745000;7,55027900
-49,69146086;-14,41694000;6,64082700
-49,65050086;-16,22974000;5,27512500
-49,60954086;-16,22974000;6,18610100
-49,56858086;-21,66204000;8,00653200
-49,52762086;-21,66204000;6,64082700
-49,48666086;-21,66204000;3,45469500
-49,44570086;-23,47484000;3,90942100
-49,40474086;-25,28764000;4,82039900
-49,36378086;-28,90713000;4,36567300
-49,32282086;-23,47484000;7,09555300
-49,28186086;-32,53273000;2,99996900
-49,24090086;-32,53273000;2,99996900
-49,19994086;-34,33942000;2,08899200
-49,15898086;-39,77782000;0,72481460
-49,11802086;-37,96502000;1,63426600
-49,07706086;-41,58452000;2,54524400
-49,03610086;-39,77782000;-0,63936280
-48,99514086;-43,39732000;0,72481460
-48,95418086;-45,21012000;2,08899200
-48,91322086;-45,21012000;-1,55034000
-48,87226086;-47,02292000;0,27008880
-48,83130086;-50,64241000;-1,09561400
-48,79034086;-50,64241000;-0,63936280
-48,74938086;-54,26801000;-1,09561400
-48,70842086;-54,26801000;-1,55034000
-48,66746086;-57,88750000;-2,91604400
-48,62650086;-57,88750000;-2,91604400
-48,58554086;-59,70031000;-2,91604400
-48,54458086;-61,51311000;-4,73647300
-48,50362086;-61,51311000;-2,91604400
-48,46266086;-56,07471000;-9,74150800
-48,42170086;-65,13260000;-4,73647300
-48,38074086;-66,94540000;-5,19119800
-48,33978086;-66,94540000;-7,92107900
-48,29882086;-68,75820000;-6,55690100
-48,25786086;-72,37769000;-5,19119800
-48,21690086;-72,37769000;-6,55690100
-48,17594086;-72,37769000;-6,55690100
-48,13498087;-76,00330000;-5,19119800
-48,09402087;-76,00330000;-9,74150800
-48,05306087;-79,62280000;-9,74150800
-48,01210087;-79,62280000;-8,37733100
-47,97114087;-79,62280000;-10,65249000
-47,93018087;-83,24839000;-9,74150800
-47,88922087;-83,24839000;-8,83205600
-47,84826087;-83,24839000;-10,65249000
-47,80730087;-86,86789000;-7,92107900
-47,76634087;-86,86789000;-10,19776000
-47,72538087;-88,68069000;-11,10721000
-47,68442087;-90,49348000;-14,29334000
-47,64346087;-90,49348000;-13,38237000
-47,60250087;-90,49348000;-15,65905000
-47,56154087;-94,11298000;-12,92764000
-47,52058087;-95,92578000;-12,01819000
-47,47962087;-95,92578000;-14,29334000
-47,43866087;-97,73858000;-16,56850000
-47,39770087;-103,17090000;-9,28678200
-47,35674087;-97,73858000;-14,29334000
-47,31578087;-101,35810000;-14,74807000
-47,27482087;-104,98370000;-11,10721000
-47,23386087;-101,35810000;-15,20280000
-47,19290087;-104,98370000;-18,38893000
-47,15194087;-104,98370000;-17,93420000
-47,11098087;-104,98370000;-17,93420000
-47,07002087;-104,98370000;-17,02323000
-47,02906087;-110,41600000;-18,84365000
-46,98810087;-108,60320000;-18,84365000
-46,94714087;-112,22880000;-18,84365000
-46,90618087;-112,22880000;-17,93420000
-46,86522087;-112,22880000;-18,84365000
-46,82426087;-112,22880000;-18,84365000
-46,78330087;-112,22880000;-21,12033000
-46,74234087;-114,03550000;-21,57506000
-46,70138087;-117,66110000;-19,75463000
-46,66042087;-117,66110000;-22,48451000
-46,61946087;-119,47390000;-22,48451000
-46,57850087;-119,47390000;-21,57506000
-46,53754087;-121,28050000;-20,66408000
-46,49658088;-119,47390000;-22,94076000
-46,45562088;-123,09340000;-21,12033000
-46,41466088;-123,09340000;-21,57506000
-46,37370088;-124,90620000;-22,94076000
-46,33274088;-124,90620000;-22,94076000
-46,29178088;-130,33850000;-33,40709000
-46,25082088;-124,90620000;-25,67064000
-46,20986088;-126,71890000;-23,39549000
-46,16890088;-126,71890000;-23,39549000
-46,12794088;-126,71890000;-23,85021000
-46,08698088;-128,52570000;-23,39549000
-46,04602088;-130,33850000;-24,76119000
-46,00506088;-128,52570000;-24,76119000
-45,96410088;-132,15130000;-25,67064000
-45,92314088;-130,33850000;-26,58162000
-45,88218088;-132,15130000;-24,76119000
-45,84122088;-133,96410000;-26,12537000
-45,80026088;-133,96410000;-24,76119000
-45,75930088;-133,96410000;-26,12537000
-45,71834088;-133,96410000;-27,94580000
-45,67738088;-135,77080000;-25,67064000
-45,63642088;-133,96410000;-25,67064000
-45,59546088;-135,77080000;-27,94580000
-45,55450088;-137,58350000;-27,03635000
-45,51354088;-137,58350000;-28,40205000
-45,47258088;-137,58350000;-28,40205000
-45,43162088;-137,58350000;-29,76623000
-45,39066088;-139,39630000;-28,40205000
-45,34970088;-144,82860000;-19,75463000
-45,30874088;-141,20920000;-29,76623000
-45,26778088;-139,39630000;-29,76623000
-45,22682088;-141,20920000;-28,85678000
-45,18586088;-141,20920000;-30,22248000
-45,14490088;-143,01580000;-28,85678000
-45,10394088;-141,20920000;-30,22248000
-45,06298088;-139,39630000;-31,13193000
-45,02202088;-141,20920000;-29,31150000
-44,98106088;-141,20920000;-28,40205000
-44,94010088;-143,01580000;-31,58666000
-44,89914088;-144,82860000;-29,31150000
-44,85818089;-143,01580000;-27,94580000
-44,81722089;-141,20920000;-31,13193000
-44,77626089;-144,82860000;-32,49763000
-44,73530089;-144,82860000;-32,95236000
-44,69434089;-146,64140000;-30,67720000
-44,65338089;-146,64140000;-30,67720000
-44,61242089;-146,64140000;-27,49107000
-44,57146089;-144,82860000;-29,31150000
-44,53050089;-144,82860000;-32,49763000
-44,48954089;-137,58350000;-22,94076000
-44,44858089;-146,64140000;-31,13193000
-44,40762089;-144,82860000;-29,31150000
-44,36666089;-148,45420000;-30,22248000
-44,32570089;-146,64140000;-29,31150000
-44,28474089;-144,82860000;-33,86334000
-44,24378089;-144,82860000;-33,86334000
-44,20282089;-146,64140000;-28,85678000
-44,16186089;-144,82860000;-30,67720000
-44,12090089;-144,82860000;-30,22248000
-44,07994089;-146,64140000;-29,31150000
