Frequenz;Kanal A;Kanal B
(ms);(mV);(mV)

-50,06660894;4,74562800;74,15387000
-50,02564894;0,22888880;74,15387000
-49,98468894;0,22888880;70,55879000
-49,94372894;-4,30311000;70,55879000
-49,90276894;-8,83510900;66,95761000
-49,86180894;-17,88385000;66,95761000
-49,82084894;-22,41584000;66,95761000
-49,77988894;-26,93258000;65,16312000
-49,73892894;-26,93258000;61,56804000
-49,69796894;-35,99658000;61,56804000
-49,65700894;-40,51332000;61,56804000
-49,61604894;-35,99658000;59,76745000
-49,57508894;-45,04532000;57,96685000
-49,53412894;-49,57732000;56,17237000
-49,49316894;-54,09406000;59,76745000
-49,45220894;-54,09406000;54,37177000
-49,41124894;-58,62605000;48,97610000
-49,37028894;-63,15805000;50,77670000
-49,32932894;-72,20679000;54,37177000
-49,28836894;-67,67479000;48,97610000
-49,24740894;-72,20679000;43,58654000
-49,20644894;-81,25553000;43,58654000
-49,16548894;-85,78752000;43,58654000
-49,12452894;-81,25553000;39,98535000
-49,08356894;-90,31953000;38,19086000
-49,04260894;-94,83626000;38,19086000
-49,00164894;-99,36826000;39,98535000
-48,96068894;-99,36826000;36,39027000
-48,91972894;-99,36826000;25,59892000
-48,87876894;-108,41700000;32,79519000
-48,83780894;-117,48100000;30,99460000
-48,79684894;-112,94900000;27,39952000
-48,75588894;-117,48100000;25,59892000
-48,71492894;-117,48100000;25,59892000
-48,67396894;-121,99770000;30,99460000
-48,63300894;-126,52970000;22,00385000
-48,59204894;-126,52970000;18,40877000
-48,55108894;-135,57850000;18,40877000
-48,51012895;-140,11050000;20,20936000
-48,46916895;-140,11050000;16,60817000
-48,42820895;-144,62720000;14,81368000
-48,38724895;-149,15920000;13,01309000
-48,34628895;-153,69120000;13,01309000
-48,30532895;-153,69120000;11,21860000
-48,26436895;-153,69120000;4,02233900
-48,22340895;-162,73990000;5,82293100
-48,18244895;-162,73990000;5,82293100
-48,14148895;-167,27190000;2,22785100
-48,10052895;-167,27190000;0,43336280
-48,05956895;-167,27190000;2,22785100
-48,01860895;-171,78870000;-1,36722900
-47,97764895;-171,78870000;-4,96230900
-47,93668895;-180,85270000;-3,16171700
-47,89572895;-180,85270000;-6,76290100
-47,85476895;-180,85270000;-8,55739000
-47,81380895;-189,90140000;0,43336280
-47,77284895;-189,90140000;-12,15247000
-47,73188895;-189,90140000;-13,95306000
-47,69092895;-189,90140000;-15,75365000
-47,64996895;-198,95010000;-17,54814000
-47,60900895;-189,90140000;-19,34873000
-47,56804895;-198,95010000;-19,34873000
-47,52708895;-203,48210000;-19,34873000
-47,48612895;-203,48210000;-22,94382000
-47,44516895;-203,48210000;-26,53890000
-47,40420895;-203,48210000;-30,13398000
-47,36324895;-208,01410000;-24,74441000
-47,32228895;-208,01410000;-30,13398000
-47,28132895;-217,06290000;-31,93457000
-47,24036895;-217,06290000;-35,52965000
-47,19940895;-217,06290000;-33,73516000
-47,15844895;-221,59490000;-33,73516000
-47,11748895;-221,59490000;-39,13083000
-47,07652895;-221,59490000;-39,13083000
-47,03556895;-226,11160000;-44,52040000
-46,99460895;-226,11160000;-46,32100000
-46,95364895;-226,11160000;-42,72591000
-46,91268895;-235,17560000;-44,52040000
-46,87172896;-230,64360000;-49,91607000
-46,83076896;-235,17560000;-51,71666000
-46,78980896;-235,17560000;-51,71666000
-46,74884896;-239,69240000;-53,51115000
-46,70788896;-230,64360000;-53,51115000
-46,66692896;-244,22430000;-55,31175000
-46,62596896;-244,22430000;-57,11234000
-46,58500896;-244,22430000;-60,70742000
-46,54404896;-248,75630000;-64,30250000
-46,50308896;-253,27310000;-62,50190000
-46,46212896;-253,27310000;-62,50190000
-46,42116896;-253,27310000;-64,30250000
-46,38020896;-253,27310000;-64,30250000
-46,33924896;-253,27310000;-64,30250000
-46,29828896;-253,27310000;-69,69817000
-46,25732896;-253,27310000;-71,49266000
-46,21636896;-262,33710000;-71,49266000
-46,17540896;-262,33710000;-76,88834000
-46,13444896;-262,33710000;-75,09385000
-46,09348896;-262,33710000;-76,88834000
-46,05252896;-262,33710000;-75,09385000
-46,01156896;-266,85380000;-76,88834000
-45,97060896;-262,33710000;-82,28400000
-45,92964896;-266,85380000;-80,48952000
-45,88868896;-262,33710000;-84,08459000
-45,84772896;-271,38580000;-84,08459000
-45,80676896;-271,38580000;-82,28400000
-45,76580896;-271,38580000;-84,08459000
-45,72484896;-271,38580000;-91,27476000
-45,68388896;-275,90260000;-87,67968000
-45,64292896;-275,90260000;-89,48027000
-45,60196896;-271,38580000;-91,27476000
-45,56100896;-280,43460000;-91,27476000
-45,52004896;-280,43460000;-93,07535000
-45,47908896;-280,43460000;-94,86984000
-45,43812896;-280,43460000;-93,07535000
-45,39716896;-280,43460000;-98,47102000
-45,35620896;-280,43460000;-98,47102000
-45,31524896;-284,96660000;-98,47102000
-45,27428896;-284,96660000;-98,47102000
-45,23332896;-284,96660000;-100,26550000
-45,19236897;-284,96660000;-102,06610000
-45,15140897;-284,96660000;-105,66120000
-45,11044897;-289,48330000;-105,66120000
-45,06948897;-289,48330000;-105,66120000
-45,02852897;-289,48330000;-105,66120000
-44,98756897;-298,54730000;-103,86060000
-44,94660897;-289,48330000;-109,25630000
-44,90564897;-289,48330000;-109,25630000
-44,86468897;-298,54730000;-109,25630000
-44,82372897;-298,54730000;-111,05690000
-44,78276897;-289,48330000;-112,85740000
-44,74180897;-298,54730000;-114,65190000
-44,70084897;-298,54730000;-114,65190000
-44,65988897;-298,54730000;-111,05690000
-44,61892897;-298,54730000;-112,85740000
-44,57796897;-298,54730000;-116,45250000
-44,53700897;-298,54730000;-118,24700000
-44,49604897;-298,54730000;-116,45250000
-44,45508897;-303,06400000;-116,45250000
-44,41412897;-307,59600000;-118,24700000
-44,37316897;-298,54730000;-120,04760000
-44,33220897;-298,54730000;-121,84820000
-44,29124897;-303,06400000;-120,04760000
-44,25028897;-312,12810000;-120,04760000
-44,20932897;-307,59600000;-118,24700000
-44,16836897;-298,54730000;-120,04760000
-44,12740897;-298,54730000;-127,23780000
-44,08644897;-307,59600000;-123,64270000
-44,04548897;-312,12810000;-121,84820000
