Frequenz,Kanal A,Kanal B
(ms),(mV),(mV)

-50.08202046,9.27762600,23.80444000
-50.04106046,9.27762600,23.80444000
-50.00010046,0.22888880,20.20936000
-49.95914046,0.22888880,23.80444000
-49.91818046,-8.83510900,16.60817000
-49.87722046,-8.83510900,18.40877000
-49.83626046,-8.83510900,16.60817000
-49.79530046,-17.88385000,16.60817000
-49.75434046,-22.41584000,13.01309000
-49.71338046,-26.93258000,14.81368000
-49.67242046,-26.93258000,13.01309000
-49.63146046,-35.99658000,9.41801200
-49.59050046,-35.99658000,9.41801200
-49.54954046,-35.99658000,9.41801200
-49.50858047,-35.99658000,7.61742000
-49.46762047,-45.04532000,4.02233900
-49.42666047,-45.04532000,5.82293100
-49.38570047,-45.04532000,5.82293100
-49.34474047,-58.62605000,0.43336280
-49.30378047,-54.09406000,2.22785100
-49.26282047,-58.62605000,-1.36722900
-49.22186047,-63.15805000,-3.16171700
-49.18090047,-67.67479000,-4.96230900
-49.13994047,-67.67479000,-4.96230900
-49.09898047,-72.20679000,-6.76290100
-49.05802047,-72.20679000,-4.96230900
-49.01706047,-81.25553000,-12.15247000
-48.97610047,-81.25553000,-6.76290100
-48.93514047,-90.31953000,-12.15247000
-48.89418047,-90.31953000,-13.95306000
-48.85322047,-90.31953000,-8.55739000
-48.81226047,-99.36826000,-19.34873000
-48.77130047,-94.83626000,-12.15247000
-48.73034047,-99.36826000,-19.34873000
-48.68938047,-103.90030000,-21.14322000
-48.64842047,-99.36826000,-15.75365000
-48.60746047,-117.48100000,-28.33949000
-48.56650047,-103.90030000,-15.75365000
-48.52554047,-117.48100000,-26.53890000
-48.48458047,-117.48100000,-26.53890000
-48.44362047,-117.48100000,-22.94382000
-48.40266047,-135.57850000,-35.52965000
-48.36170047,-117.48100000,-21.14322000
-48.32074047,-140.11050000,-37.33024000
-48.27978047,-131.04650000,-28.33949000
-48.23882047,-135.57850000,-30.13398000
-48.19786047,-144.62720000,-37.33024000
-48.15690047,-140.11050000,-33.73516000
-48.11594047,-149.15920000,-39.13083000
-48.07498047,-153.69120000,-39.13083000
-48.03402047,-153.69120000,-35.52965000
-47.99306047,-162.73990000,-48.12158000
-47.95210047,-153.69120000,-35.52965000
-47.91114047,-171.78870000,-48.12158000
-47.87018048,-162.73990000,-40.92532000
-47.82922048,-171.78870000,-44.52040000
-47.78826048,-171.78870000,-48.12158000
-47.74730048,-171.78870000,-48.12158000
-47.70634048,-180.85270000,-48.12158000
-47.66538048,-185.36940000,-53.51115000
-47.62442048,-180.85270000,-44.52040000
-47.58346048,-198.95010000,-62.50190000
-47.54250048,-180.85270000,-44.52040000
-47.50154048,-208.01410000,-64.30250000
-47.46058048,-189.90140000,-53.51115000
-47.41962048,-208.01410000,-57.11234000
-47.37866048,-208.01410000,-62.50190000
-47.33770048,-203.48210000,-55.31175000
-47.29674048,-221.59490000,-69.69817000
-47.25578048,-208.01410000,-49.91607000
-47.21482048,-226.11160000,-69.69817000
-47.17386048,-217.06290000,-58.90683000
-47.13290048,-226.11160000,-64.30250000
-47.09194048,-226.11160000,-69.69817000
-47.05098048,-226.11160000,-62.50190000
-47.01002048,-244.22430000,-73.29325000
-46.96906048,-235.17560000,-64.30250000
-46.92810048,-244.22430000,-69.69817000
-46.88714048,-244.22430000,-75.09385000
-46.84618048,-244.22430000,-66.10309000
-46.80522048,-253.27310000,-76.88834000
-46.76426048,-244.22430000,-66.10309000
-46.72330048,-262.33710000,-78.68892000
-46.68234048,-262.33710000,-73.29325000
-46.64138048,-262.33710000,-76.88834000
-46.60042048,-262.33710000,-73.29325000
-46.55946048,-271.38580000,-80.48952000
-46.51850048,-271.38580000,-76.88834000
-46.47754048,-284.96660000,-85.87908000
-46.43658048,-271.38580000,-73.29325000
-46.39562048,-289.48330000,-82.28400000
-46.35466048,-284.96660000,-80.48952000
-46.31370048,-289.48330000,-78.68892000
-46.27274048,-298.54730000,-87.67968000
-46.23178048,-289.48330000,-78.68892000
-46.19082049,-307.59600000,-91.27476000
-46.14986049,-298.54730000,-78.68892000
-46.10890049,-312.12810000,-85.87908000
-46.06794049,-312.12810000,-89.48027000
-46.02698049,-312.12810000,-85.87908000
-45.98602049,-325.70880000,-93.07535000
-45.94506049,-316.64480000,-84.08459000
-45.90410049,-325.70880000,-93.07535000
-45.86314049,-325.70880000,-89.48027000
-45.82218049,-334.75750000,-89.48027000
-45.78122049,-334.75750000,-93.07535000
-45.74026049,-334.75750000,-89.48027000
-45.69930049,-348.33830000,-98.47102000
-45.65834049,-339.28950000,-91.27476000
-45.61738049,-348.33830000,-96.67043000
-45.57642049,-348.33830000,-91.27476000
-45.53546049,-352.87020000,-96.67043000
-45.49450049,-352.87020000,-93.07535000
-45.45354049,-361.91900000,-98.47102000
-45.41258049,-361.91900000,-96.67043000
-45.37162049,-366.45100000,-98.47102000
-45.33066049,-361.91900000,-94.86984000
-45.28970049,-370.96770000,-98.47102000
-45.24874049,-370.96770000,-98.47102000
-45.20778049,-375.49970000,-96.67043000
-45.16682049,-384.54850000,-98.47102000
-45.12586049,-380.03170000,-96.67043000
-45.08490049,-389.08040000,-105.66120000
-45.04394049,-384.54850000,-98.47102000
-45.00298049,-389.08040000,-98.47102000
-44.96202049,-393.61250000,-105.66120000
-44.92106049,-389.08040000,-96.67043000
-44.88010049,-402.66120000,-105.66120000
-44.83914049,-389.08040000,-94.86984000
-44.79818049,-407.19320000,-105.66120000
-44.75722049,-398.12920000,-102.06610000
-44.71626049,-402.66120000,-98.47102000
-44.67530049,-407.19320000,-105.66120000
-44.63434049,-398.12920000,-96.67043000
-44.59338049,-407.19320000,-105.66120000
-44.55242050,-407.19320000,-102.06610000
-44.51146050,-407.19320000,-102.06610000
-44.47050050,-411.70990000,-105.66120000
-44.42954050,-407.19320000,-102.06610000
-44.38858050,-411.70990000,-100.26550000
-44.34762050,-416.24190000,-105.66120000
-44.30666050,-416.24190000,-100.26550000
-44.26570050,-416.24190000,-105.66120000
-44.22474050,-407.19320000,-102.06610000
-44.18378050,-407.19320000,-100.26550000
-44.14282050,-416.24190000,-105.66120000
-44.10186050,-407.19320000,-98.47102000
